,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,13326915,13326091,45,43259,68438,115000,-1,5,slab
1,8101076,13330394,25,43046,70714,118750,-1,5,end
2,13330648,8101159,45,42822,70706,118500,-1,5,slab
3,6865743,13330406,27,43567,70041,118600,-1,5,end
4,4539269,13330831,27,43297,69589,117800,-1,5,slab
5,4539221,13330836,27,43217,69490,117600,-1,5,slab
6,13331051,13331050,45,42941,69958,118050,-1,5,end
7,13331050,13331049,45,42938,69977,118000,-1,5,slab
8,13331049,13331048,45,42930,69958,117950,-1,5,slab
9,13331048,13331047,45,42943,69920,117900,-1,5,slab
10,13331047,13331046,45,42972,69910,117850,-1,5,slab
11,13331046,13331045,45,42976,69828,117800,-1,5,slab
12,13331045,13331044,45,42995,69718,117750,-1,5,slab
13,13331044,13331043,45,42978,69712,117700,-1,5,slab
14,13331043,13330835,45,42987,69684,117650,-1,5,slab
15,13331020,13331019,45,44106,68595,116600,-1,5,end
16,13331019,13331018,45,44123,68610,116650,-1,5,slab
17,13331018,13331017,45,44121,68597,116700,-1,5,slab
18,13331017,13331016,45,44108,68571,116750,-1,5,slab
19,13331016,13331015,45,44154,68546,116800,-1,5,slab
20,13331015,13331014,45,44142,68534,116850,-1,5,slab
21,13331014,13331013,45,44142,68533,116900,-1,5,slab
22,13331013,13331012,45,44142,68544,116950,-1,5,slab
23,13331012,13331011,45,44097,68559,117000,-1,5,slab
24,13331011,13330876,45,44051,68580,117050,-1,5,slab
25,13330988,13330987,45,42584,68287,115250,-1,5,end
26,13330987,13330986,45,42605,68305,115200,-1,5,slab
27,13330986,13330985,45,42586,68356,115150,-1,5,slab
28,13330985,13330984,45,42607,68432,115100,-1,5,slab
29,13330984,11943459,45,42807,68173,115100,-1,5,slab
30,13330982,13330981,45,43002,68134,115200,-1,5,slab
31,13330981,13330980,45,42998,68153,115250,-1,5,slab
32,13330980,13327057,45,43038,68134,115300,-1,5,slab
33,13327057,13330978,45,43092,68118,115350,-1,5,slab
34,13330978,13330977,45,43095,68126,115400,-1,5,slab
35,13330977,13330976,45,43194,68139,115450,-1,5,slab
