,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,3546213,2798040,"[19283093, 19139253, 19133808, 6463937]",3546205,"[3546226, 3546219, 18753318, 3546233]"
1,4036766,2798040,"[19874658, 19874653, 19874648, 19874643, 19874638, 19139253, 4042315, 6463937, 14206438, 14203725, 16712771, 6467481]",4036772,"[24983087, 24983086, 24983085, 24983084, 24983083, 4036786, 12133120, 9918193, 19589355, 19570390, 4036779, 4036765]"
2,5433304,16512969,"[6463937, 14203725, 14206438, 19139253, 19133808, 4717729, 5433432, 5899328, 7992966]",4036702,"[18804197, 5433331, 5433345, 5433324, 5433310, 18802401, 5433436, 5433366, 5433374]"
3,5589699,19210090,"[19139253, 5589706, 5589714, 5589722, 5589734]",5588938,"[16849307, 5589710, 5589718, 5589726, 5589739]"
4,5865925,16326658,"[20107892, 16065634, 20107885, 20107880, 19139253, 20107873, 16326430, 19133808, 5865943, 16512969, 5899328, 16546770, 14199565]",5865933,"[25328051, 25140767, 25328050, 25328049, 19970879, 25328048, 18220303, 5865940, 5865947, 5865920, 5865954, 5865961, 19585967]"
5,5867035,4070588,"[19139253, 19139253, 5867037, 5867044, 5867051, 5867058, 4028114, 4538738]",5867034,"[24206619, 19970680, 5867041, 5867048, 5867055, 5867062, 8688849, 12967585]"
6,5895466,4070588,"[6467984, 19149193, 19149188, 19139253, 4749671, 5895490]",5895472,"[24028115, 24028114, 24028112, 5895484, 5895461, 5895494]"
7,5895542,2798040,"[19876290, 19244821, 19139253, 16888626, 4749671, 6467918, 4070588, 16888611, 16888616, 16888621]",5895549,"[24984726, 5895597, 16849277, 5895564, 4750205, 5895557, 5895573, 19970245, 19970246, 19970247]"
8,5896290,4070588,"[19139253, 10223572, 5896301, 5896310, 16794066]",5866973,"[16849349, 5896328, 5896305, 5896314, 18916780]"
9,5897029,4070588,"[20149721, 19139253, 5897031, 5897039, 5897046, 5897054]",5896925,"[25398689, 18825260, 5897036, 5897043, 5897050, 5897058]"
10,5898231,10223572,"[6467984, 19139253, 5898256, 5898263, 4037649, 4070588]",5898237,"[14468685, 5898253, 5898260, 5898267, 5898246, 5897245]"
11,5899064,4070588,"[19139253, 19133808, 5899067, 14203725, 3546313]",5866802,"[5899152, 5899078, 5899071, 5899089, 5899113]"
12,5902907,10223572,"[19139253, 5902916, 14468957, 4070588, 14468971, 14047554, 10522090, 4070588]",5902913,"[14468980, 5902920, 14468960, 5902905, 14468974, 10522081, 10522093, 5902906]"
13,6467036,4070588,"[5899328, 19139253, 12705004, 16326693, 7992966]",6467026,"[6467063, 6467049, 6467070, 6467042, 6467106]"
14,6467647,2798040,"[6467918, 6467984, 19139253, 6467665, 6467984, 6467792, 16534755]",6467644,"[18803831, 6467683, 6467693, 6467669, 6467654, 6467662, 6467676]"
15,6469007,16326658,"[5899328, 19139253, 5899328, 6469016, 6469030, 16326430]",6469006,"[18137021, 6469027, 18136978, 6469020, 6469034, 6469013]"
16,6469144,16326658,"[14206438, 19139253, 16512969, 5899328, 16712771, 6469196, 5899328, 14203725, 6467481]",6469130,"[6469172, 5904111, 23996341, 5904194, 6469165, 6469200, 6469179, 6469150, 6469157]"
17,6899839,16232840,"[19139253, 4731383, 6899848, 6899855, 6899862, 6899869, 4732074]",6899845,"[19970565, 6899838, 6899852, 6899859, 6899866, 6899873, 21334340]"
18,8366350,15693936,"[6463937, 19139253, 8366366, 8366373, 8366393, 8366399, 8366441, 8366454, 14088149, 14047130, 13058240, 14087339, 14047554, 8026224, 12070159, 10649843, 14242929, 8026224, 13058240]",8366356,"[8366390, 19970470, 8366370, 8366377, 8366397, 8366403, 8366445, 8366458, 8366384, 8366424, 8366430, 8366417, 8366410, 8366363, 8366452, 8366437, 8366349, 19760916, 18932635]"
19,9026386,4789092,"[19139253, 8026224, 9026404, 16613524, 14085813]",9026394,"[19970502, 9026381, 9026410, 18933167, 14085941]"
20,10214304,10398171,"[14048538, 12809976, 19139253, 7280270, 14048538, 5085455, 10649843, 14203725]",10207670,"[16886979, 16885785, 10214309, 10214315, 14474942, 10214323, 14475009, 14475003]"
21,10214538,10398171,"[19139253, 19139253, 14475186, 14045489, 4488976, 16846260, 14203725, 16846271, 16846276, 16846281, 14048876, 4488976]",10214537,"[19796187, 10214549, 14475189, 10214543, 19796161, 19796186, 18342021, 19796188, 19796189, 19796190, 16166480, 19796160]"
22,10214715,10398171,"[7280270, 12809976, 19139253, 19139253, 14048876, 10214374, 12809976, 14475405, 10214735, 14048538, 14048538]",10207700,"[24156789, 23954282, 10214761, 10214744, 18372239, 16886066, 10214726, 10214720, 10214738, 10214732, 10214755]"
23,10215940,10398171,"[19139253, 12809976, 14048876, 7280270, 10215942, 10214458]",10207740,"[24206601, 14473418, 18372619, 10215951, 10215945, 14473412]"
24,10222738,10223572,"[19139253, 12809976, 14470781, 10222752, 10222712, 10222706, 10222700, 14044614, 14044614]",10221527,"[14470790, 17444254, 14470784, 10222755, 10222749, 10222743, 16171455, 10222721, 14469504]"
25,10452578,10223572,"[19139253, 18725726, 10452580, 14468950]",5902913,"[10452589, 23495095, 10452583, 14468953]"
26,10452625,10223572,"[19139253, 10452627]",10452621,"[10452636, 10452630]"
27,10452761,10223572,"[19139253, 10452763, 10452775, 10452781, 14468862, 16742556, 10452708, 10452702]",10452751,"[10452772, 10452766, 10452778, 10452784, 14468865, 19447760, 10452711, 10452705]"
28,10466249,10219170,"[19139253, 4991402, 14046720, 14085813, 14047554, 14206438, 13058240, 16604714, 16604725, 16604730, 16604736]",10219482,"[19970716, 10466240, 18920760, 10466254, 9023811, 18920762, 13872585, 18920761, 18920763, 18920765, 18920776]"
29,10466323,10219170,"[19139253, 14046720, 10466325]",10219491,"[10466334, 10466320, 10466328]"
30,10466337,10219170,"[19139253, 10466345]",10219493,"[10466342, 10466348]"
31,10467037,10219170,"[16240665, 19139253, 14087107, 10467039, 10467045, 10467051, 16888742]",10467034,"[25402321, 19970458, 19970443, 10467042, 10467048, 10467054, 19970459]"
32,10467592,10219170,"[19139253, 10467594, 10467600, 16798480]",10467092,"[18733692, 10467597, 10467603, 18735839]"
33,10467794,10219170,"[16240665, 19139253]",10220221,"[10467799, 10467805]"
34,10467848,10219170,"[19139253, 14046720, 16413724, 5899328]",10220193,"[10467856, 14046831, 18385676, 18385649]"
35,10520537,10223572,"[19139253, 16846289, 14471044]",10221442,"[14087836, 10520543, 10520549]"
36,10520683,12809976,"[19139253, 19139253, 16846289, 16432570, 16432580, 14045489, 16432586, 14203725, 16742394, 16742394]",10520700,"[16167044, 10222544, 19795913, 18428825, 18428827, 16886539, 18428828, 18342034, 18428826, 18428829]"
37,10521099,10223572,"[19139253, 10521101, 10521107, 10521113]",10521098,"[14470991, 10521104, 10521110, 10521116]"
38,10521196,10223572,"[6467984, 19139253, 10521198, 10521218]",10521195,"[18825194, 10521207, 10521201, 10521221]"
39,10521613,10223572,"[19139253, 10521621, 10649843, 14475405]",10453061,"[14470742, 10521624, 10521618, 16163901]"
40,12664052,16154307,"[19139253, 11954665, 11954665, 12664061, 12664067, 12664090, 12019432, 12019432]",12664057,"[12664083, 12664051, 12664036, 12664064, 12664070, 12664093, 12664077, 12664100]"
41,12664160,11987676,"[19139253, 11954665, 13009751, 12019432]",12664165,"[19970526, 12664044, 13009754, 12664171]"
42,12825510,2577013,"[19139253, 12825518, 12825524]",12719739,"[12825515, 12825521, 12825527]"
43,12946816,18967626,"[19139253, 4729046]",12946823,"[12946829, 6545424]"
44,13278639,11065546,"[19139253, 13278641, 13278647, 13278665, 13278671, 13278679, 13278685, 13278691, 13278697, 13278703, 18189967]",13278626,"[13278656, 13278644, 13278650, 13278668, 13278674, 13278682, 13278688, 13278694, 13278700, 13278706, 13278662]"
45,13279097,11065546,"[19139253, 5899328, 5904833, 13279099, 13279105, 14046720, 17577717, 17577829]",13279054,"[19970386, 21734757, 21734755, 13279102, 13279108, 21734754, 21734756, 21735101]"
46,13509735,18769231,"[10223572, 5898256, 19139253, 6467984, 19868949, 5898256, 7018038]",13509746,"[24977742, 24977744, 16849270, 19970230, 24977743, 13509740, 13509660]"
47,13867076,10745937,"[19139253, 13867078, 13867084, 13867090, 14194234, 16888674, 16888684, 16888679]",13867075,"[19970335, 13867081, 13867087, 13867093, 19615054, 19970339, 19970341, 19970340]"
48,14471036,10223572,"[19139253, 7280270, 14471044, 16714135, 5899328]",10221434,"[10520495, 17444334, 14471047, 19254643, 5903843]"
49,15910256,4991402,"[14047130, 19139253, 15612038, 15612058, 10649843]",5157518,"[15910263, 15910261, 15910258, 15910264, 15910262]"
50,16061440,12705637,"[19139253, 4715415, 15654620, 15654625, 14047130]",16061439,"[16061442, 16061441, 16061443, 16061444, 14047421]"
51,16441477,7280270,"[16546770, 19139253, 19133808, 5899328, 16419338, 14199565]",15266602,"[16441483, 16441479, 18396820, 16441469, 18396821, 16441467]"
52,16900217,6570401,"[19141751, 19141747, 19141742, 16433395, 19139253, 5899328]",15270203,"[24011481, 24011480, 24011479, 18430926, 16900219, 5903460]"
