,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,10220668,10465516,12,64615,74670,114850,-1,5,slab
1,10465284,10465283,12,64584,74829,114600,-1,5,end
2,61716594,10465313,74,64899,75602,114400,-1,5,end
3,10220669,10220668,12,64592,74708,114800,-1,5,slab
4,10220672,10220669,12,64577,74761,114750,-1,5,slab
5,5176778,10220672,16,64554,74886,114700,-1,5,slab
6,10465283,5176778,12,64600,74848,114650,-1,5,branch
7,61716590,10465283,74,64642,74956,114600,-1,5,slab
8,10465311,61716590,12,64695,75046,114550,-1,5,slab
9,10465313,10465311,12,64740,75164,114450,-1,5,slab
10,24991856,25059508,45,72873,81355,108800,-1,5,end
11,25059508,20917378,45,72871,81401,108750,-1,5,slab
12,24009507,24009498,45,71556,76559,113950,-1,5,end
13,24009498,24009497,45,71851,76548,114000,-1,5,slab
14,24009497,10467069,45,71680,76704,114000,-1,5,slab
15,10464167,10464166,12,76699,80313,125100,-1,5,end
16,10464169,10464168,12,76380,79800,125300,-1,5,slab
17,10464168,10219239,12,76383,79822,125250,-1,5,slab
18,10464166,10219239,12,76482,80180,125150,-1,5,slab
19,10219239,10219238,12,76391,79974,125200,-1,5,branch
20,10464199,10464198,12,75658,78663,124950,-1,5,end
21,10464234,10464233,12,74320,79302,123050,-1,5,slab
22,10464233,10464232,12,74373,79313,123100,-1,5,branch
23,10464232,10464231,12,74461,79340,123150,-1,5,slab
24,10464231,10464230,12,74453,79408,123200,-1,5,slab
25,10464230,10464229,12,74502,79431,123250,-1,5,slab
26,10464228,10464227,12,74578,79458,123350,-1,5,slab
27,10464229,10464228,12,74559,79435,123300,-1,5,slab
28,10464227,10464226,12,74670,79408,123400,-1,5,slab
29,10464226,10464225,12,74692,79397,123450,-1,5,slab
30,10464225,10464224,12,74704,79393,123500,-1,5,slab
31,10464224,10464222,12,74723,79355,123550,-1,5,slab
32,10464221,10464219,12,74909,79374,123650,-1,5,slab
33,10464216,10464215,12,74970,79378,123750,-1,5,slab
34,10464215,10464214,12,75107,79374,123800,-1,5,slab
35,10464214,10464209,12,75194,79287,123850,-1,5,slab
36,10223988,10464209,12,75504,79214,123850,-1,5,slab
37,10464208,10464207,12,75354,79211,123950,-1,5,slab
38,10464207,10464206,12,75388,79169,124000,-1,5,slab
39,10464206,10464205,12,75433,79173,124050,-1,5,slab
40,10464205,10464204,12,75430,79203,124100,-1,5,slab
41,10464204,10464203,12,75483,79040,124150,-1,5,slab
42,10464203,10464202,12,75441,78937,124200,-1,5,slab
43,10464202,10464201,12,75422,78781,124250,-1,5,slab
44,10464201,10219270,12,75361,78587,124300,-1,5,slab
