,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,2175351,2183099,"[12873722, 2175353, 2175360, 2175386]",2175308,"[2175371, 2175357, 2175364, 2175390]"
1,2806116,19806174,"[16224318, 17210906, 12873722, 2806135, 2806151, 2806160, 10859221, 16137602, 16137607]",2806122,"[2806147, 2806104, 2806130, 2806139, 2806155, 2806164, 10859224, 17693323, 17693324]"
2,4384334,10499711,"[12873722, 12873722, 15290335, 4384391, 14046245, 14267519, 4850409]",4384342,"[17932737, 17932736, 4384378, 4384395, 4384353, 4384370, 4384298]"
3,4584857,11114427,"[14386226, 12873722, 4461322, 4584887, 4584901]",4584869,"[4584898, 4584884, 4584856, 4584891, 4584905]"
4,4902257,1931981,"[16080562, 12873722, 4901446, 4902273, 4902280, 4902287, 4902294, 4902308, 16067382]",4902263,"[24285047, 4902305, 4902252, 4902277, 4902284, 4902291, 4902298, 4902312, 4902270]"
5,5391283,17435009,"[17435371, 12873722, 16225282]",5391289,"[5391282, 17932985, 17932993]"
6,5391423,8371225,"[17435371, 12873722, 5391439, 12096730]",5391429,"[5391422, 17932830, 5391443, 5391436]"
7,5429771,12873722,"[4104476, 5429780, 15290335, 12949240]",5429777,"[17932965, 5429784, 5429766, 12883920]"
8,5429839,12873722,"[16080562, 10229024, 15290335, 16225432, 18144322]",5429845,"[17933080, 10229027, 5429836, 17933082, 5429855]"
9,5577510,16226512,"[16136867, 16136867, 12873722, 7280270, 10416006, 14866842, 7280270, 7280270, 5078760, 4936149]",5577493,"[5577595, 5577588, 5577581, 5577538, 5577516, 5577552, 5577573, 5577545, 5577602, 6964684]"
10,6857331,8840084,"[4727546, 12873722, 6857334, 8371225]",6857321,"[11974076, 6857346, 6857338, 8676575]"
11,6896619,8265414,"[12873722, 4936149, 6896628, 6896635, 6896642, 6896649]",6896625,"[17932666, 6896618, 6896632, 6896639, 6896646, 6896653]"
12,7001322,14493979,"[12873722, 14858626, 7001345, 8371225, 10140573, 18144322]",7001328,"[17933236, 7001335, 7001349, 7001342, 7001321, 10091151]"
13,7762005,12873722,"[17435009, 15290335, 12949240]",7762011,"[7762004, 5429755, 17932961]"
14,7899312,10090379,"[12873722, 7899314, 7899321]",7899311,"[9550057, 7899318, 7899325]"
15,7924954,12816926,"[9976875, 12873722, 17077342, 17077342, 12944478, 7924963, 7924969, 7924977, 17076626]",7924960,"[20795469, 19350122, 7924953, 7924987, 20795477, 7924967, 7924973, 7924981, 20709862]"
16,7925232,15504376,"[10398171, 12873722, 12873722, 17077342, 8039617, 10017183, 10398171, 7924478, 10133525, 10015769, 10004243, 10398171, 10398171, 4850409, 10053304]",7925238,"[10053064, 10100500, 7925258, 7925231, 7925266, 7925245, 7925251, 6821050, 12833584, 12863127, 10261451, 12921506, 10017442, 12921511, 12863106]"
17,8341867,12873722,"[15290335, 4543281, 8341878, 16067382]",8341875,"[8341888, 8341846, 8341882, 17651928]"
18,9327300,12152231,"[12873722, 18468751, 4122610, 10398171, 6962596, 6962645]",6962537,"[9327333, 9327273, 6962614, 6962607, 6962600, 9327342]"
19,9544600,12152231,"[15290335, 12873722, 4113533, 9544609, 9544623, 9544629, 9544637, 16745095, 14046245, 14046245]",9544606,"[25380378, 10227944, 6415166, 9544613, 9544627, 9544633, 9544641, 19476949, 19476938, 17449143]"
20,9549981,11072929,"[16226512, 12873722, 9549992, 9549999]",9549988,"[9990632, 9549977, 9549996, 9550003]"
21,10017010,15504376,"[12873722, 12873722, 16232840, 10398171, 8039617, 10498233]",10017009,"[10017022, 10017028, 10017034, 10017015, 10017040, 12862779]"
22,10017162,15504376,"[12873722, 10017177, 10017183, 10398171, 7924478]",10017092,"[10017168, 10017180, 10017186, 10017174, 12834275]"
23,10053128,15504376,"[12873722, 15565587, 15565587, 15565587, 10398171, 10398171, 12862906, 8039617, 8039617]",10017511,"[10053117, 13124910, 10123457, 10053147, 10053134, 10053141, 12862909, 10053154, 13124904]"
24,10053276,15504376,"[12873722, 10227539, 14046279, 10053304, 8039617, 10398171, 14046279, 10004243, 14046279]",10017677,"[12862999, 10118190, 10053281, 10053287, 10130471, 10261246, 10260986, 13009855, 10260998]"
25,10053290,15504376,"[20143363, 12873722, 10053298, 10227539, 14046245, 10004243]",10017677,"[10053307, 12853825, 10053301, 10053295, 12718135, 13960226]"
26,10103025,14046486,"[12873722, 16232840, 10498233, 8039617]",10103037,"[10105391, 10103020, 10103030, 10103114]"
27,10227792,15930348,"[7280270, 12873722, 10227794, 10227800]",10227809,"[18395935, 10227791, 10227797, 10227803]"
28,10227822,12152231,"[12873722, 10227825, 10227831]",7901162,"[10227821, 10227828, 10227834]"
29,10227880,11072929,"[19242617, 16137863, 12873722, 16072047]",10227897,"[14829338, 10227885, 10227879, 17477087]"
30,10227902,18585674,"[18504471, 12873722, 18393350, 18393345]",10227913,"[12412155, 9549965, 22957480, 22957478]"
31,10227916,10090379,"[16226512, 12873914, 12873722]",7899330,"[5584841, 10153705, 9550048]"
32,10227953,15930348,"[19883571, 12873722, 10227955]",10227970,"[10227964, 10227814, 10227958]"
33,10228013,18144322,"[12873722, 10228015, 10228021]",10090962,"[10228012, 10228018, 10228024]"
34,10228064,12873722,"[10228066, 10228096, 16080562, 18144322]",10228063,"[10228069, 10228099, 10228093, 10228105]"
35,10228078,12873722,"[10228110, 16224717, 10228110]",10228063,"[10228083, 17932594, 10228113]"
36,10228162,12873722,"[10228164, 10228170]",10228135,"[10228167, 10228173]"
37,10228250,12096730,"[12873722, 15290335, 10228252, 10228258, 10228264]",10228279,"[10228249, 10228273, 10228255, 10228261, 10228267]"
38,10228287,4392101,"[12873722, 10228290]",6861444,"[10228199, 10228293]"
