,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,4008373,4002332,"[4008382, 4008389, 4008403, 15881246, 15881246]",4007992,"[4008386, 4008393, 4008407, 4008379, 4008400]"
1,6903757,4728865,"[6903766, 15881246, 6953958, 13879996, 14202157]",6903756,"[6903770, 6903763, 21064695, 14202006, 14202160]"
2,8063765,11528737,"[15881246, 8063774, 16009772]",8063771,"[8063792, 8063778, 8063763]"
3,8063880,10279710,"[15881246, 8063896, 8063903, 15315491, 16009772]",8063886,"[8063914, 8063900, 8063907, 8063893, 8063879]"
4,10280726,16698043,"[16009799, 10280740, 10280746, 15881246, 3711289]",10280755,"[10280737, 10280743, 10280749, 10280731, 10280725]"
5,10285314,12960217,"[15555885, 18300209, 15881246, 16119660, 12044223]",10285333,"[10285326, 10285307, 18450159, 17623736, 19557221]"
6,10434795,14046301,"[10434797, 10434803, 15881246]",10413488,"[10434800, 10434806, 10434812]"
7,10434858,14046301,"[7416644, 10434866, 15948938, 15881246]",10413496,"[10434863, 10434869, 10434875, 17048493]"
8,10435120,14046301,"[10435128, 10435134, 15881246]",10413533,"[10435131, 10435137, 10435125]"
9,12009148,12960079,"[20548931, 15538006, 15881246, 17904627, 14968122, 13438376, 14267519]",12009153,"[12009159, 25072686, 17127102, 12009147, 22752533, 25066653, 25066657]"
10,12960215,12960217,"[14419430, 15881246, 8192584, 15881246, 11466247, 18271009, 13004884]",12960220,"[14419433, 14419446, 14419461, 14419467, 12960214, 14419439, 14419455]"
11,14417375,15505125,"[14417377, 14417389, 14417401, 16119154, 15881246, 15881246, 13528512, 13528518, 14930754, 15537784, 14930754]",13528526,"[14417380, 14417392, 14417404, 14417410, 14417423, 17048414, 13528515, 13528521, 17273361, 19578953, 17273356]"
12,14833622,15881246,"[14833624, 14833630, 14833636, 10398088]",8550824,"[14833627, 14833633, 14833639, 14829836]"
13,15623258,13004884,"[15536330, 16165165, 15537784, 16165165, 12998937, 15555885, 16009772, 15881246, 6578062]",15623040,"[15623259, 15623266, 15623261, 15623260, 15623263, 15623267, 15623262, 15623264, 15623265]"
14,15628941,13004884,"[15994252, 13331383, 16009772, 15881246, 4541202, 14046294, 15233041, 15536019]",15628939,"[17127228, 15221561, 8063714, 15628945, 15628943, 15628946, 15628947, 15628942]"
15,15629101,13004884,"[15881246, 15538361, 15538376, 15537996, 12750004, 3711289, 16009772, 11528737, 15537877]",15629100,"[15629110, 15629115, 15629129, 15629107, 15629106, 15629114, 15629123, 15629113, 15629117]"
16,15738428,15352877,"[15555885, 15881246]",15359514,"[15738427, 15738429]"
17,16353249,20468508,"[16455454, 15698531, 15698541, 15698546, 15698551, 15881246, 15538361]",16353243,"[16353251, 16353250, 16353252, 16353253, 16353254, 16353255, 25075737]"
18,17083939,15899025,"[15878240, 15921599, 15921604, 15921609, 15921619, 15921624, 15921629, 15921639, 8452711, 15881246, 19810511]",17083949,"[17083938, 17083940, 17083941, 17083942, 17083944, 17083945, 17083946, 17083948, 17083947, 17083943, 16995509]"
19,17087525,15881246,"[15924460, 15924465, 15924471, 10378597, 18435548]",8550792,"[17087527, 17087528, 17087530, 17171893, 17087522]"
20,17108239,15871449,"[15937244, 15881246]",16986745,"[17108242, 17047844]"
21,17127131,15946450,"[15881246, 15946440, 15946445]",17127140,"[17048405, 17127136, 17127138]"
22,17127166,15946466,"[15881246, 15946461, 15556861]",17127171,"[17048397, 17127170, 17127169]"
23,17127172,15946477,"[15881246, 7807080]",17127174,"[17048383, 17127173]"
24,17127181,16015673,"[15881246, 15946499, 7807080]",17127185,"[17048372, 17127183, 17127182]"
25,17127191,15946521,"[15881246, 15946516]",17127193,"[17048364, 17127192]"
26,17127239,11528737,"[15881246, 15946550]",17127241,"[17048329, 17127240]"
27,17127258,10561898,[15881246],15392021,[17048302]
28,17127350,10279710,"[15881246, 6980091, 15946616, 16009772, 15315491]",17127354,"[17048239, 6980095, 17127353, 17127352, 17127351]"
29,17127363,15946670,"[15881246, 15946660, 15315491]",17127366,"[17048231, 17127364, 17127365]"
30,17127367,11528737,"[16009799, 15881246, 15946676, 15946681, 15946691, 16473399, 13438376, 17237966]",18541015,"[17127372, 17048230, 17127368, 17127369, 17127371, 18541054, 18541055, 17127370]"
31,17127377,20468508,"[16455454, 15881246, 15946707, 15538361]",16353258,"[61429337, 17048204, 17127380, 25075733]"
32,17127393,20468508,"[15881246, 15946735]",16353256,"[17048202, 17127394]"
33,17127401,14267519,"[15881246, 15946743]",17127404,"[17048200, 17127402]"
34,17127409,15946759,"[15881246, 15946754]",17127413,"[17127408, 17127410]"
35,17127427,10279710,"[16455454, 15881246, 15946766, 15946771, 15946791, 17375307, 15315491]",17127439,"[17127432, 17048191, 17127428, 17127429, 17127434, 17127433, 17127430]"
36,17127453,15946813,"[15881246, 15946803, 17237966]",17127457,"[17048168, 17127455, 17127456]"
37,17127461,15946825,"[15881246, 15946820, 20468508]",17127464,"[17048157, 17127462, 16353069]"
38,17127490,15946842,"[15881246, 15946837]",17127492,"[17048149, 17127491]"
39,17127504,14267519,"[15881246, 15946859, 15946864, 16009772]",17127509,"[17048108, 17127506, 17127508, 61852485]"
40,17127529,15946882,"[15881246, 15946877]",17127532,"[17127526, 17127531]"
41,17127533,15946894,"[15881246, 15946889]",17127535,"[17048102, 17127534]"
42,17127536,15946910,"[15881246, 15946900, 15946905]",17127539,"[17048100, 17127537, 17127538]"
43,17127540,15946931,"[15881246, 15946916, 15946921, 15946926]",17127544,"[17048098, 17127541, 17127542, 17127543]"
44,17127547,15946947,"[15881246, 15946937, 15946942]",17127553,"[17048096, 17127551, 17127552]"
45,17127561,11528737,"[15881246, 16473474, 16473479, 17237960]",17127562,"[17048088, 18541240, 18541241, 18541242]"
46,17127576,15946973,"[15881246, 15946963, 15946968]",17127580,"[17048077, 17127578, 17127579]"
47,17127641,15946988,"[15881246, 15946983]",17127643,"[17127600, 17127642]"
48,17127657,15947000,"[15881246, 15946995]",17127659,"[8550430, 17127658]"
49,17127721,15881246,"[15947034, 15947039]",8551113,"[17127722, 17127723]"
