,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,14651798,14779466,45,60340,90079,123250,-1,5,slab
1,14651920,14778872,45,59422,89828,125100,-1,5,slab
2,14651937,14778856,45,59935,89746,125500,-1,5,slab
3,12593853,12698366,48,58801,88942,121100,-1,5,slab
4,12595305,14778815,48,59641,89794,114800,-1,5,slab
5,12698116,12698120,48,59376,88868,121850,-1,5,slab
6,12698115,12698116,48,59370,88856,121900,-1,5,slab
7,12698112,12698115,48,59365,88843,121950,-1,5,slab
8,12698109,12698112,48,59334,88832,122000,-1,5,slab
9,12698108,12698109,48,59332,88800,122050,-1,5,slab
10,12698071,12698108,48,59338,88822,122100,-1,5,slab
11,12698221,12698228,48,59359,89071,121700,-1,5,slab
12,12698230,12698229,48,59163,89130,121600,-1,5,slab
13,12698354,12698230,48,59034,89140,121550,-1,5,slab
14,12698355,12698354,48,59048,89132,121500,-1,5,slab
15,12698356,12698355,48,59014,89161,121450,-1,5,slab
16,12698357,12698356,48,59012,89148,121400,-1,5,slab
17,12698360,12698357,48,58953,89129,121350,-1,5,slab
18,12698362,12698360,48,58881,89092,121300,-1,5,slab
19,12698363,12698362,48,58825,89053,121250,-1,5,slab
20,12698365,12698363,48,58806,89028,121200,-1,5,slab
21,12698366,12698365,48,58793,88992,121150,-1,5,slab
22,12698486,12593853,48,58755,88912,121050,-1,5,slab
23,12698541,12698486,48,58755,88853,121000,-1,5,end
24,12698618,12698619,48,59482,89174,121200,-1,5,slab
25,12698614,12698618,48,59506,89144,121250,-1,5,slab
26,12698613,12698614,48,59506,89144,121300,-1,5,slab
27,12698612,12698613,48,59507,89144,121350,-1,5,slab
28,12698611,12698612,48,59508,89144,121400,-1,5,slab
29,12698610,12698611,48,59509,89142,121450,-1,5,slab
30,12698609,12698610,48,59500,89132,121500,-1,5,slab
31,12698604,12698609,48,59492,89134,121550,-1,5,slab
32,12698644,6251346,48,59367,89271,120650,-1,5,slab
33,12698643,12698644,48,59375,89257,120700,-1,5,slab
34,12698641,12698643,48,59384,89243,120750,-1,5,slab
35,12698640,12698641,48,59395,89229,120800,-1,5,slab
36,12698639,12698640,48,59406,89216,120850,-1,5,slab
37,12698635,12698639,48,59416,89203,120900,-1,5,slab
38,12698634,12698635,48,59398,89193,120950,-1,5,slab
39,12698628,12698634,48,59380,89184,121000,-1,5,slab
40,12698627,12698628,48,59396,89189,121050,-1,5,slab
41,12698624,12698627,48,59413,89195,121100,-1,5,slab
42,12698908,12698920,48,58890,89296,120250,-1,5,slab
43,12698907,12698908,48,58892,89294,120300,-1,5,slab
44,12698905,12698907,48,58898,89281,120350,-1,5,slab
45,12698904,12698905,48,58901,89271,120400,-1,5,slab
46,12698888,12698904,48,58898,89262,120450,-1,5,slab
47,12698847,12698888,48,58879,89292,120500,-1,5,slab
48,12698846,12698847,48,58886,89281,120550,-1,5,slab
49,12698971,12698978,48,58729,88992,119100,-1,5,slab
50,12698967,12698971,48,58708,89020,119150,-1,5,slab
51,12698961,12698967,48,58744,89039,119200,-1,5,slab
52,12698960,12698961,48,58734,89043,119250,-1,5,slab
53,12698959,12698960,48,58723,89043,119300,-1,5,slab
54,12698958,12698959,48,58717,89011,119350,-1,5,slab
55,12698957,12698958,48,58757,89066,119400,-1,5,slab
56,12698956,12698957,48,58765,89079,119450,-1,5,slab
57,12698955,12698956,48,58820,89123,119500,-1,5,slab
58,12698954,12698955,48,58820,89123,119550,-1,5,slab
59,12698953,12698954,48,58835,89136,119600,-1,5,slab
60,12698952,12698953,48,58875,89148,119650,-1,5,slab
61,12698951,12698952,48,58943,89130,119700,-1,5,slab
62,12698950,12698951,48,58953,89119,119750,-1,5,slab
63,12698949,12698950,48,58964,89110,119800,-1,5,slab
64,12698947,12698949,48,58951,89111,119850,-1,5,slab
65,12698946,12698947,48,58951,89111,119900,-1,5,slab
66,12698924,6251255,48,58981,89254,120000,-1,5,slab
67,12698923,12698924,48,58890,89269,120050,-1,5,slab
68,12698922,12698923,48,58875,89277,120100,-1,5,slab
69,12698921,12698922,48,58882,89250,120150,-1,5,slab
70,12699078,12699077,48,58799,88916,118200,-1,5,slab
71,12699090,12699078,48,58810,88902,118150,-1,5,slab
72,12699104,12699090,48,58801,88885,118100,-1,5,slab
73,12699115,12699104,48,58768,88868,118050,-1,5,slab
74,12699153,12699115,48,58767,88868,118000,-1,5,slab
75,12699157,12699153,48,58767,88855,117950,-1,5,slab
76,12699162,12699157,48,58814,88844,117900,-1,5,slab
77,12699179,12699162,48,58795,88838,117850,-1,5,end
78,12699923,6236304,48,59346,88845,122200,-1,5,slab
79,12699926,12699923,48,59348,88889,122250,-1,5,slab
80,12699928,12699926,48,59357,89127,122300,-1,5,slab
81,12699929,12699928,48,59445,88908,122350,-1,5,slab
82,12699930,12699929,48,59433,88910,122400,-1,5,slab
83,12699992,12699930,48,59506,88965,122450,-1,5,slab
84,12699995,12699992,48,59509,88996,122500,-1,5,slab
85,12699996,12699995,48,59511,88996,122550,-1,5,branch
86,12700001,12699996,48,59544,89034,122600,-1,5,slab
87,12700002,12700001,48,59536,89030,122650,-1,5,slab
88,12700003,12700002,48,59536,89030,122700,-1,5,slab
89,12700004,12700003,48,59536,89030,122750,-1,5,slab
90,12700005,12700004,48,59536,89030,122800,-1,5,slab
91,12700011,12700005,48,59536,89030,122850,-1,5,slab
92,12700028,12700011,48,59437,88826,122900,-1,5,slab
93,12700029,12700028,48,59810,89324,122900,-1,5,slab
94,12700045,12700029,48,59796,89279,122950,-1,5,slab
95,12700051,12700045,48,59785,89288,123000,-1,5,slab
96,12700052,12700051,48,59758,89298,123050,-1,5,slab
97,12700053,12700052,48,59732,89300,123100,-1,5,slab
98,12700054,12700053,48,59747,89300,123150,-1,5,slab
99,12700060,12700054,48,59756,89303,123200,-1,5,branch
100,12700068,12700060,48,59734,89334,123250,-1,5,slab
101,12700069,12700068,48,59728,89353,123300,-1,5,slab
102,12700074,12700069,48,59730,89376,123350,-1,5,slab
103,12700075,12700074,48,59736,89395,123400,-1,5,slab
104,12700076,12700075,48,59741,89395,123450,-1,5,slab
105,12700079,12700076,48,59813,89433,123500,-1,5,slab
106,12700080,12700079,48,59907,89446,123550,-1,5,slab
107,12700087,12700080,48,59962,89438,123600,-1,5,slab
108,12700092,12700087,48,60015,89391,123650,-1,5,slab
109,12700106,6241658,48,60146,89351,124200,-1,5,slab
110,12700107,12700106,48,60216,89366,124250,-1,5,slab
111,12700095,12700092,48,59946,89417,123700,-1,5,slab
112,12700097,12700095,48,60013,89436,123750,-1,5,slab
113,12700098,12700097,48,60059,89436,123800,-1,5,slab
114,12700108,12700107,48,60159,89311,124300,-1,5,slab
115,12700099,12700098,48,60068,89434,123850,-1,5,slab
116,12700100,12700099,48,60091,89434,123900,-1,5,slab
117,12700101,12700100,48,60116,89427,123950,-1,5,slab
118,12700102,12700101,48,60140,89421,124000,-1,5,slab
119,12700103,12700102,48,60163,89400,124050,-1,5,slab
120,12700104,12700103,48,60167,89391,124100,-1,5,slab
121,6241658,12700104,3,60173,89379,124150,-1,5,slab
122,12700109,12700108,48,60174,89309,124350,-1,5,slab
123,12700110,12700109,48,60176,89317,124400,-1,5,slab
124,12700111,12700110,48,60184,89317,124450,-1,5,slab
125,12700112,12700111,48,60192,89324,124500,-1,5,slab
126,12700113,12700112,48,60199,89330,124550,-1,5,slab
127,12700117,12700113,48,60209,89315,124600,-1,5,branch
128,12700118,12700117,48,60129,89279,124650,-1,5,slab
129,12700120,6252215,48,60199,89345,124750,-1,5,slab
130,12700121,12700120,48,60368,89404,124800,-1,5,slab
131,12700122,12700121,48,60366,89404,124850,-1,5,slab
132,12700123,12700122,48,60391,89410,124900,-1,5,slab
133,12700124,12700123,48,60399,89419,124950,-1,5,slab
134,12700125,12700124,48,60478,89427,125000,-1,5,slab
