skeleton_id," ""neuron_name""",,
11995,"""Ladder-a a1","11995""",
160708,"""Ladder-b t3","160708""",
183502,"""A09e_a4l","183502""",
255168,"""A08f a3l","255168""",
366296," ""classIII-related descending sog left","366296""",
471705,"""Ladder-d_a1","471705""",
471720,"""Ladder-c a1","471720""",
471755,"""Ladder-b a1","471755""",
474609,"""A12y a1l","474609""",
477729,"""A09j_a3r","477729""",
488634,"""neuron 488635","488634""",
538171,"""NOT a SN (not lch5-5 PN right)","538171""",
542433,"""handle-2 or 3_t3","542433""",
627858,"""A09e_a4r","627858""",
689215,"""t2l contralateral pre lch5","689215""",
719881," ""classIII-related descending sog right","719881""",
734837,"""A09q_a7r classIV-related projection D right","734837""",
748429,"""neuron 748430","748429""",
1113488,"""lch5-2/4_contra_projection_t3l VLEL9_t3l","1113488""",
1224945," ""projection neuron Right / TODO","1224945""",
1369495," ""ascending neuron right","1369495""",
1370785,"""A09e_a5l","1370785""",
1376947,"""A02?_a2l Pseudolooper-3/4","1376947""",
1401061,"""A02o_a5r Wave-1","1401061""",
1716788,"""A09o_a3l","1716788""",
1927577,"""A08n classIV-related projection A left","1927577""",
2042488,"""hook? t3l","2042488""",
2108484,"""work 08022018","2108484""",
2123393,"""could be A08m2","2123393""",
2123422,"""hook-1_a1l","2123422""",
2194374,"""A02o_a3l Wave-1","2194374""",
2226852,"""lch5-24_contra_projection_t3r VLEL9_t3r","2226852""",
2370290,"""A09e_a5r","2370290""",
2429370,"""Ladder-b a3","2429370""",
2583770,"""A10a_a2l Chair-1","2583770""",
2625913,"""neuron 2625914","2625913""",
2637812,"""A02n_a1r Pseudolooper-4","2637812""",
2661957,"""Griddle-2 a2l","2661957""",
2664230,"""Jupiter A08h2 a3r","2664230""",
2667974,"""Ladder_a3 (post lch5-2/4)","2667974""",
2693651,"""A09o_a3r","2693651""",
2708596," ""Fragment","2708596""",
2743423,"""A23i_a2l","2743423""",
2755720,"""A09e?_a6r","2755720""",
2762464,"""hook-3_a2r","2762464""",
2784471,"""hook-1_a1r","2784471""",
2832320,"""NOT a SN (lch5-5 PN left)","2832320""",
2874015," ""ambiguous fragment","2874015""",
2975298,"""T06o t2r","2975298""",
2975521,"""Jupiter A08h2 t3l","2975521""",
2982502,"""A12y a2r","2982502""",
2986525,"""T06o t2l","2986525""",
3034133,"""A09b a1l Basin-1","3034133""",
3040481,"""A09c a1l Basin-4","3040481""",
3041612,"""A09a a1l Basin-2","3041612""",
3043553,"""A09b Basin-1 a2l","3043553""",
3056163,"""A09a_a2l Basin-2","3056163""",
3065790,"""A09c Basin-4 a2l","3065790""",
3068209," ""handle","3068209""",
3074106,"""A09a a1r Basin-2","3074106""",
3091943,"""A09g a1r Basin-3","3091943""",
3134700,"""a12y a3l","3134700""",
3176470,"""A09g a2l Basin-3","3176470""",
3180525,"""A03o_a1r","3180525""",
3241605,"""A09j_a3l","3241605""",
3281615,"""A09l_a2l Down-and-back-1","3281615""",
