,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,25122864,19598559,22,73922,73033,118300,-1,2,slab
1,18608739,18608738,11,73806,72708,119000,-1,5,end
2,18608738,18608736,11,73821,72708,118950,-1,5,slab
3,18608736,18608734,11,73837,72682,118900,-1,5,slab
4,18608734,18608733,11,73833,72651,118850,-1,5,slab
5,18608733,18608732,11,73878,72613,118800,-1,5,slab
6,18608732,18608730,11,73894,72602,118750,-1,5,slab
7,18608730,18608729,11,73954,72583,118700,-1,5,slab
8,18608729,18608726,11,73958,72556,118650,-1,5,slab
9,18608726,12146333,11,73970,72568,118600,-1,5,slab
10,18608707,18608701,11,73726,72648,118650,-1,5,slab
11,18608701,18608694,11,73742,72640,118600,-1,5,slab
12,18608694,18608689,11,73764,72663,118550,-1,5,slab
13,25122835,18608707,22,73686,72744,118700,-1,5,slab
14,25122836,25122835,22,73643,72803,118750,-1,5,slab
15,25122838,25122836,22,73698,72836,118800,-1,5,slab
16,25122844,25122838,22,73629,72885,118900,-1,5,slab
17,25122845,25122844,22,73605,72906,118950,-1,5,slab
18,25122846,25122845,22,73609,72944,119000,-1,5,slab
19,25122847,25122846,22,73580,72935,119050,-1,5,slab
20,25122849,25122847,22,73645,72992,119100,-1,5,slab
21,25122852,25122849,22,73610,72965,119150,-1,5,slab
22,25122856,25122852,22,73590,72929,119200,-1,5,slab
23,25122857,25122856,22,73565,72855,119250,-1,5,slab
24,25122858,25122857,22,73660,72916,119300,-1,5,end
25,25122863,25122864,22,73778,72919,118300,-1,5,slab
26,25122860,25122863,22,73730,72811,118350,-1,5,slab
27,25122819,25122860,22,73641,72687,118400,-1,2,slab
28,18608689,25122819,11,73768,72655,118500,-1,5,branch
29,18608687,18608689,11,73859,72575,118500,-1,5,slab
30,18608684,18608687,11,73973,72526,118500,-1,5,slab
31,12146333,18608684,27,73989,72534,118550,-1,5,slab
32,24194650,24194649,45,72419,71429,121800,-1,5,end
33,24194649,19616100,45,72421,71431,121750,-1,5,slab
34,23685448,23685449,11,70428,70587,115800,-1,2,slab
35,24109021,24109020,45,70027,73230,109100,-1,5,end
36,24109020,24109019,45,70038,73253,109150,-1,5,slab
37,24109019,24109018,45,69998,73194,109200,-1,5,slab
38,24109018,24109017,45,69877,73044,109300,-1,5,slab
39,24109017,24109016,45,69778,72919,109400,-1,5,slab
40,24109016,24109015,45,69825,72900,109450,-1,5,slab
41,24109015,24109014,45,69816,72866,109500,-1,5,slab
42,24109014,24109013,45,69886,72938,109550,-1,5,slab
43,24109013,24109012,45,69913,72913,109600,-1,5,slab
44,24109012,24109011,45,69918,72968,109650,-1,5,slab
45,24109011,24109010,45,70000,73014,109700,-1,5,slab
46,24109010,24109009,45,69975,73109,109750,-1,5,slab
47,24109009,24109008,45,69932,73151,109800,-1,5,slab
48,24109008,24109007,45,69833,73075,109850,-1,5,slab
49,24109007,24109006,45,69801,73061,109900,-1,5,slab
50,24109006,24109005,45,69787,72906,109950,-1,5,slab
51,24109005,24109004,45,69521,72634,110050,-1,5,slab
52,24109004,24109003,45,69561,72584,110100,-1,5,slab
53,24109003,24109002,45,69609,72579,110150,-1,5,slab
54,24109002,24109001,45,69576,72569,110200,-1,5,slab
55,24109001,24108982,45,69525,72527,110250,-1,5,slab
56,24108982,24108981,45,69571,72557,110300,-1,5,slab
57,24108983,24109000,45,69854,72151,110900,-1,5,branch
58,24109000,24108975,45,69792,72121,110950,-1,5,slab
59,24108996,24108995,45,69916,71737,110300,-1,5,end
60,24108995,24108993,45,69920,71708,110350,-1,5,slab
61,24108993,24108992,45,69861,71621,110350,-1,5,slab
62,24108992,24108991,45,69847,71602,110400,-1,5,slab
