,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,283718,1706711,"[283720, 283728, 283738, 283748, 283760, 283778, 14087339]",283712,"[283724, 283732, 283742, 283752, 283764, 283782, 18656917]"
1,284343,1706711,"[284357, 284365, 284373, 284381, 284395, 6569171, 284439, 284449, 284467, 284477, 284487, 284497, 5494171, 5078760, 13058240, 14087339, 16609114, 16609119, 16609134, 14087107, 14085813, 15552753]",284309,"[284361, 284369, 284377, 284385, 284399, 284351, 284443, 284453, 284471, 284481, 284491, 284501, 284411, 284423, 18928934, 18656954, 18928936, 18928937, 18928940, 18928938, 18928939, 20690126]"
2,1021733,654210,"[14087339, 1021743, 1021751, 1021775, 16278807, 16278807]",1021731,"[1021771, 1021747, 1021755, 1021779, 1021739, 1021763]"
3,1021827,654210,"[14087339, 4791651, 16278807]",1021809,"[1021833, 1021841, 1021849]"
4,1021853,654210,"[1021855, 1021863, 1021871, 1021879, 1021887, 4791651, 14087339]",1021825,"[1021859, 1021867, 1021875, 1021883, 1021891, 1021899, 19624832]"
5,1022308,654210,"[1022318, 1022326, 14087339, 4538738]",1022270,"[1022322, 1022330, 1022314, 13019350]"
6,1022478,654210,"[1022480, 1022488, 1022496, 14087339]",1022436,"[1022484, 1022492, 1022500, 1022508]"
7,3463366,17435371,"[14086309, 14087339, 4524871, 4715415, 14087339]",5394438,"[10642916, 3463372, 3463379, 3463365, 10642909]"
8,3465473,4715415,"[4038469, 14087339, 4478328, 5904833]",3465469,"[3465486, 3465479, 3465493, 16345326]"
9,3526954,7992966,"[14087107, 19255024, 19111930, 14087339]",3526951,"[19615874, 3526969, 3526962, 19625058]"
10,3545182,12048715,"[12040460, 14087339, 2798040, 12142221]",12115493,"[3545195, 3545203, 3545181, 3545188]"
11,3980609,16565626,"[3980634, 10649843, 14046720, 14087339]",12770143,"[3980638, 3980005, 18735524, 19638826]"
12,4727638,14242929,"[12039793, 14086309, 4028114, 14087339]",4727644,"[12039940, 24049744, 4727634, 6538105]"
13,4727711,4728865,"[14086309, 4028114, 4727730, 4727754, 12039793, 6888315, 16613999, 16614004, 14085813, 14087339, 16615256]",4727717,"[4727741, 4727706, 4727734, 4727758, 4727751, 4727727, 18933898, 18933899, 18933893, 18933897, 18935884]"
14,5028803,4728865,"[8026224, 8026224, 14206438, 14047130, 12944478, 14087339, 14085813, 16613897]",5028809,"[18933740, 19761805, 18933741, 17228638, 5028802, 19593905, 18933737, 18933742]"
15,5394397,17435371,"[4715415, 5394413, 5394420, 5394427, 14087339, 3467640, 16125477, 16125472]",5394396,"[3463359, 5394417, 5394424, 5394431, 5394403, 5394410, 17648777, 17648775]"
16,5394538,17435371,"[19111930, 5394540, 5394547, 5394566, 5394580, 14087339, 16812237, 16812209]",4726774,"[5394577, 5394544, 5394552, 5394570, 5394584, 10642919, 19624770, 19638949]"
17,5394860,17435371,"[5899328, 19111930, 19111930, 5394883, 5394890, 14086309, 15663176, 14087339]",5394775,"[5394866, 18385280, 18384826, 5394887, 5394894, 5394880, 16087050, 10642871]"
18,5394907,17435371,"[19111930, 5899328, 14087339]",5394906,"[5394913, 5394920, 10643023]"
19,5576178,4034528,"[19272389, 19111930, 19111930, 14087339, 5576189, 14088149, 14087107, 14086309]",5561721,"[5576222, 18384762, 5576215, 5576200, 5576193, 5576229, 18733803, 5576207]"
20,5640896,4935973,"[8026224, 5640898, 5640907, 5640922, 5640936, 14206438, 16795843, 16795849, 14047760, 16861488, 14087339, 14085813]",5640895,"[5640919, 5640902, 5640911, 5640926, 5640940, 19588985, 19591689, 19591690, 19837279, 19838056, 17612231, 5640933]"
21,6498165,5309932,"[20402998, 20402998, 20267628, 15600832, 15665992, 15571023, 14087339, 5236962, 8688631, 15571023, 15571023]",6496772,"[6498206, 6498185, 6498220, 6498227, 6498234, 6498199, 6498192, 6498178, 6498171, 13864742, 6498213]"
22,6498292,12036009,"[5236962, 10089193, 5309932, 6498315, 14087339]",6498298,"[21724469, 6498312, 6498291, 6498319, 6498305]"
23,6498497,5309932,"[8688631, 5236962, 14087339, 15571023]",6498245,"[6498503, 6498510, 6498517, 6498527]"
24,6500804,5309932,"[20267628, 13058240, 10089193, 14087339, 15571023]",6498237,"[6500930, 6500814, 6500828, 6500821, 15784340]"
25,6500951,12036009,"[8688631, 18425292, 5309932, 14087339, 17571010, 10089193]",6500957,"[24375332, 6500971, 6500941, 6500964, 21724475, 10335781]"
26,6519726,5273235,"[6519747, 6519762, 6519769, 8237648, 14199565, 14087339]",6519721,"[6519751, 6519766, 6519773, 15112424, 6519781, 18656873]"
27,6530453,4071032,"[19255539, 19255539, 14086309, 14087339, 7992966]",6530446,"[18371098, 6530467, 6530460, 18371089, 17818832]"
28,6530531,4071032,"[6530533, 9024241, 14087339]",6530530,"[6530537, 9024245, 10643197]"
29,6531330,17077347,"[12944478, 4478328, 14087339]",6531336,"[5028854, 6531325, 10642859]"
30,6538114,14242929,"[14087339, 12039793, 11207649]",6538112,"[6538129, 6538122, 6538136]"
31,6541461,16926333,"[14087339, 6541463, 6541470]",6541459,"[6541482, 6541467, 6541474]"
32,6541570,16926333,"[6541579, 6541586, 14087339]",6541566,"[6541583, 6541590, 6541576]"
33,6567025,5904833,"[14046720, 19111930, 4038469, 14087339, 14088149]",6567032,"[6567039, 6567053, 6567024, 10643007, 6567046]"
34,7123214,12048715,"[15094230, 7123223, 7123230, 7123237, 7123251, 14085813, 14087339, 12078216, 12918707, 14085813]",7123220,"[7123248, 7123227, 7123234, 7123241, 7123255, 7123262, 12078199, 12078219, 7123205, 13547314]"
35,7123283,16763565,"[12918707, 7123286, 7123293, 7123300, 12039793, 12039793, 14087339, 12039793]",4730392,"[7123280, 7123290, 7123297, 7123304, 19497663, 13547011, 19709518, 13547432]"
36,7369611,4935723,"[14087339, 7369613, 7369620, 7369627, 7369641]",5552584,"[7369638, 7369617, 7369624, 7369631, 7369645]"
37,7369648,4935723,"[16828027, 7369650, 7369657, 4488976, 14087339]",5552575,"[18371032, 7369654, 7369661, 7369668, 18371028]"
38,7680669,10089193,"[19216582, 19216577, 19216572, 19111930, 7855607, 14087339, 7680685, 14087107, 17436104]",7680675,"[24127589, 24127588, 24127587, 18384817, 7680666, 7680682, 7680689, 7680695, 21506498]"
39,7741594,19766546,"[7741603, 10649843, 14087339, 13245417]",7741575,"[7741607, 7741600, 7741614, 13367123]"
40,7788287,11015075,"[16433395, 7894254, 12039793, 14087339, 14047554]",7788293,"[7788307, 7788286, 7788300, 18656555, 19751202]"
41,8166126,4840830,"[13884216, 14088149, 14087339, 8166134, 8166142, 8166148]",4841205,"[18397731, 8166132, 8166160, 8166138, 8166146, 8166152]"
42,8366275,14242929,"[8192600, 8366284, 14087339]",8347066,"[8366295, 8366288, 8366281]"
43,8366350,15693936,"[6463937, 19139253, 8366366, 8366373, 8366393, 8366399, 8366441, 8366454, 14088149, 14047130, 13058240, 14087339, 14047554, 8026224, 12070159, 10649843, 14242929, 8026224, 13058240]",8366356,"[8366390, 19970470, 8366370, 8366377, 8366397, 8366403, 8366445, 8366458, 8366384, 8366424, 8366430, 8366417, 8366410, 8366363, 8366452, 8366437, 8366349, 19760916, 18932635]"
44,8366479,14242929,"[8366488, 14087339]",8366478,"[8366492, 18656712]"
45,8366528,14242929,"[8026260, 8366530, 8366550, 8366557, 14087339, 12745397, 12745403, 4028114]",8366526,"[8366548, 8366534, 8366554, 8366561, 8366541, 12745400, 12745406, 12745415]"
46,8492917,19903629,"[8492919, 8492926, 14087339]",8481298,"[8492923, 8492930, 19625152]"
47,9000942,8688631,"[20090498, 14087339, 9000958, 9000965, 4028114, 14087107]",9000934,"[25303428, 9000955, 9000962, 9000969, 8687996, 16851160]"
48,9000980,12643185,"[19255015, 16533187, 8026224, 12643869, 12643875, 14087107, 16805207, 14087339, 15352954, 14206438]",9000986,"[12643914, 9000993, 9001000, 12643872, 12643878, 19615907, 19615908, 19709417, 19884572, 19592385]"
49,9005345,17435371,"[19255007, 14087339, 8688631, 16126880, 16120385, 4727546, 16847054]",5389969,"[9005351, 9005358, 9005344, 17650540, 17617598, 16062596, 17617596]"
50,9022964,10467389,"[9022973, 14087339, 14047554]",9022970,"[9022977, 9022984, 9022963]"
51,10139345,12944478,"[14087339, 14088451, 10416006, 16214291, 13058240]",10139301,"[10139356, 10139362, 10139350, 17905484, 13059025]"
52,10330198,10089252,"[14088451, 10330206, 15715571, 14087339]",10330142,"[18729452, 10330209, 10330215, 10330203]"
53,10330458,10089252,"[14088451, 10330460, 10330466, 10330472, 10330478, 14087339]",10329793,"[23903232, 10330463, 10330469, 10330475, 10330481, 18729589]"
