,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,25002877,25002876,22,47965,87755,124200,-1,5,end
1,25002876,25002875,22,47950,87607,123950,-1,5,slab
2,25002875,24999628,22,47956,87521,123750,-1,4,slab
3,25002874,15164780,22,38970,69230,117150,-1,5,end
4,15164780,25002873,12,39045,69338,116950,-1,5,slab
5,25002873,25002872,22,39064,69137,116850,-1,5,slab
6,25002872,25002871,22,39098,69156,116800,-1,5,slab
7,25002871,25002821,22,39121,69133,116650,-1,5,slab
8,25002859,25002858,22,35706,75314,119700,-1,5,end
9,25002858,18568453,22,35682,75247,119750,-1,5,slab
10,18568453,25002857,54,35676,75072,119850,-1,5,slab
11,25002857,25002856,22,35664,75067,119950,-1,5,slab
12,25002856,24999618,22,35518,75072,120050,-1,5,slab
13,25002821,2740408,22,39119,69165,116600,-1,5,slab
14,24999628,24999627,22,47980,87497,123700,-1,5,slab
15,24999627,18609505,22,48151,87413,123700,-1,5,slab
16,24999618,15304114,22,35440,75086,120100,-1,5,slab
17,19710026,2740283,12,39598,67086,116250,-1,5,end
18,2743041,2743040,15,40451,69749,117500,10,3,slab
19,18617594,18655217,11,50536,70115,119050,-1,2,slab
20,18655216,18655215,11,50627,72756,118200,-1,5,end
21,18655215,18655214,11,50646,72543,118250,-1,5,slab
22,18655214,18655213,11,50597,72296,118200,-1,5,slab
23,18655213,18655212,11,50574,72274,118150,-1,5,slab
24,18655212,18655211,11,50570,71897,118150,-1,5,slab
25,18655211,18655210,11,50657,71707,118150,-1,5,slab
26,18655210,18655209,11,50638,71590,118200,-1,4,slab
27,18655209,18655208,11,50695,71297,118250,-1,5,slab
28,18655208,18655207,11,50692,71080,118300,-1,5,slab
29,18655207,18617633,11,50608,71001,118350,-1,5,slab
30,18617633,18617629,11,50726,71008,118400,-1,5,slab
31,18617629,18617628,11,50714,70978,118450,-1,5,slab
32,18617628,18617627,11,50741,70925,118500,-1,5,slab
33,18617627,18617626,11,50707,70845,118550,-1,5,slab
34,18617626,18617625,11,50684,70818,118600,-1,5,slab
35,18617625,18617624,11,50665,70773,118650,-1,5,slab
36,18617624,18617618,11,50627,70727,118700,-1,5,slab
37,18617618,18617615,11,50612,70605,118750,-1,5,slab
38,18617615,18617614,11,50631,70571,118800,-1,5,slab
39,18617614,18617611,11,50635,70533,118850,-1,5,slab
40,18617611,18617609,11,50604,70450,118900,-1,5,slab
41,18617609,18617608,11,50604,70370,118950,-1,5,slab
42,18617608,18617594,11,50551,70256,119000,-1,5,slab
43,24961067,24961066,22,35708,78204,122450,-1,5,end
44,24961066,24961065,22,35640,78169,122500,-1,5,slab
45,24961065,24961064,22,35609,78143,122550,-1,5,slab
46,24961064,24961063,22,35526,78055,122600,-1,5,slab
47,24961063,24961049,22,35476,78010,122650,-1,5,slab
