,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,3545238,10891221,"[15094230, 2798040, 10474936, 15094230]",12002751,"[3545244, 3545236, 3545251, 15158702]"
1,4597990,4729046,"[15094230, 4488976, 12946593, 14242929]",4597996,"[10584340, 4597986, 12946596, 12946590]"
2,4729846,4729046,"[15094230, 4028114, 9025190, 9025201, 14086309]",4729852,"[24077254, 4729845, 9025194, 9025205, 9025153]"
3,5316499,5465672,"[15094230, 18534782, 5316512, 5316519, 5358138]",5316505,"[25374323, 11481739, 5316516, 5316523, 5316498]"
4,6306648,16763565,"[15094230, 4981055, 12070159, 16122162]",6306654,"[6306674, 6306639, 6306683, 17621228]"
5,6306703,9938023,"[15094230, 18319649, 4981055, 6306712, 16763565, 11946218]",6306709,"[11946228, 11946214, 6306695, 6306716, 6545615, 11946221]"
6,6539933,12873914,"[4728865, 6539950, 6539957, 15094230, 13875538]",6539947,"[6539931, 6539954, 6539961, 15103315, 17981985]"
7,6541413,10908551,"[15094230, 6541436, 4725907, 16926333]",6541419,"[6541433, 6541440, 6541426, 6541411]"
8,6542187,6542189,"[15094230, 6542200, 6542207, 16926333]",6542197,"[25369083, 6542204, 6542211, 6542184]"
9,6543593,18319649,"[15094230, 18418512, 4728745, 6543602, 12085365, 12039793]",6543599,"[6543613, 17656795, 6543592, 6543606, 12119824, 13547510]"
10,7123214,12048715,"[15094230, 7123223, 7123230, 7123237, 7123251, 14085813, 14087339, 12078216, 12918707, 14085813]",7123220,"[7123248, 7123227, 7123234, 7123241, 7123255, 7123262, 12078199, 12078219, 7123205, 13547314]"
11,7993603,12048715,"[2798040, 7993726, 7993743, 7993756, 7993762, 7993786, 15094230, 4936603, 16926341]",7993610,"[7993596, 7993731, 7993752, 7993760, 7993766, 7993790, 7993776, 18092529, 16559720]"
12,8029242,4729046,"[15094230, 8029250, 8026224]",6546607,"[8029248, 8029254, 8029262]"
13,8406496,16763565,"[15094230, 10858401, 8406498, 8406505, 8406517]",8406495,"[22143948, 8406515, 8406502, 8406509, 8406521]"
14,9023620,15094230,"[14047130, 9023636, 7782409, 14047554, 14088149, 13058240]",9023626,"[9023633, 9023640, 9023647, 9023619, 18430892, 18915368]"
15,9522086,16763565,"[15094230, 9522088]",8404372,"[9522099, 9522092]"
16,9523170,16926333,"[15094230, 9523172]",9523169,"[9523183, 9523176]"
17,10155976,12873914,"[10155978, 10155984, 10155990, 10155996, 15094230, 10156017, 13061869, 13061878]",10155721,"[10155981, 10155987, 10155993, 10155999, 10156033, 10156020, 13061872, 13061881]"
18,10649488,15094230,"[8026224, 16210546, 10649490, 10649843, 14047554, 13058240]",10649499,"[9026623, 18920563, 10649493, 10649414, 19751270, 18920564]"
19,11493074,5316126,"[17071666, 15094230, 11493088]",11493073,"[11493079, 11493085, 11493091]"
20,11946268,9938023,"[15094230, 18319649, 11946449, 11946456, 11946469, 12918707, 6888315, 6888315]",11946127,"[11946318, 11946280, 11946452, 11946459, 11946472, 11946286, 11946466, 11946274]"
21,11951540,16210546,"[15094230, 11951542, 11951548]",11951539,"[11951557, 11951545, 11951551]"
22,11951976,16210546,"[15094230, 11951984, 11951990, 11951996]",11951970,"[11951981, 11951987, 11951993, 11951999]"
23,11952141,15094230,"[15663237, 11952149, 11952164, 16210546]",11952146,"[11952158, 11952152, 11952167, 11952139]"
24,12002731,,"[15094230, 10891221, 2798040, 14088149]",,"[12002737, 12002730, 3545233, 12002743]"
25,12002883,10891221,"[15094230, 18418512, 12002891, 12918707, 10908551]",12002725,"[12002888, 17656816, 12002894, 12002900, 12002906]"
26,12002912,10891221,"[15094230, 12002920, 12048715, 17771141]",12002911,"[12002917, 12002923, 12002929, 12117368]"
27,12002934,10891221,"[18418512, 15094230]",12002933,"[17656819, 17661825]"
28,12003030,4725907,"[15094230, 18418512, 10891221, 4536017]",12003035,"[12003041, 17656856, 12003029, 4557709]"
29,12003062,10891221,"[15094230, 12003064]",12003061,"[12003073, 12003067]"
30,12048582,4725907,"[10474936, 12048593, 14088149, 12040460, 15094230]",12048587,"[12048458, 12048596, 12048603, 12048614, 15158707]"
31,12049749,16763565,"[8026224, 15094230, 10474936, 12049759, 12049765, 12049772, 12918707]",12049754,"[12049781, 25367948, 12049733, 12049762, 12049768, 12049775, 12049787]"
32,12052514,12142221,"[10858401, 10474936, 12052523, 12052529, 12052535, 12052543, 15094230]",12052519,"[12038336, 12052498, 12052526, 12052532, 12052538, 12052546, 15103239]"
33,12053366,4981665,"[15094230, 13873397, 12053382, 12053388, 12053402, 4936603, 17860497, 17860502]",12053371,"[12053399, 14408316, 12053385, 12053391, 12053405, 18919742, 22130146, 22130147]"
34,12077672,10908551,"[15094230, 10474936, 12077691, 16926333]",12077678,"[12077688, 12049114, 12077694, 6541410]"
35,12080225,4725907,"[15094230, 18319649, 12080235, 12080243, 12080249, 12080255, 12080261]",12080232,"[25368996, 12080214, 12080238, 12080246, 12080252, 12080258, 12080264]"
36,12083620,15558045,"[18319649, 14930754, 12083636, 15094230]",12083626,"[12083618, 12083633, 12083639, 15158482]"
37,12083731,15094230,"[18319649, 8198957, 12083747]",12083737,"[12083696, 8232157, 12083750]"
38,12083820,18319649,"[4728120, 15094230, 12083823]",12083816,"[12083840, 12083833, 12083826]"
39,12109142,10908551,"[15094230, 12109144, 12109156, 12070159]",12109140,"[12109153, 12109147, 12109159, 13463526]"
40,12109486,20133964,"[15094230, 12109488, 12109500, 10908551]",25377174,"[12109497, 12109491, 12109503, 12109485]"
41,12109756,10908551,"[15094230, 12109758, 12109764, 12109776, 12109782]",12109461,"[12109773, 12109761, 12109767, 12109779, 12109785]"
42,12109852,10908551,"[15094230, 12109860, 12109866, 12109878, 12039793]",12109850,"[12109857, 12109863, 12109869, 12109881, 12109875]"
43,12109894,10908551,"[15094230, 12109902, 12039793]",12109892,"[12109899, 12109905, 17665397]"
44,12112394,10908551,"[12112397, 12112409, 12112422, 15094230, 15094230, 15871579]",12112393,"[12112400, 12112412, 12112425, 12112431, 12112406, 12112418]"
45,12112447,10908551,"[18319649, 14930754, 12112461, 12112468, 12112474, 15094230]",12112446,"[12083552, 12112452, 12112464, 12112471, 12112477, 12112458]"
46,12112499,10908551,"[15094230, 14930754, 12112513]",12112498,"[12112510, 12112504, 12112516]"
47,12112596,10908551,"[2798040, 12112599, 15094230]",12112594,"[7991609, 12112602, 12112608]"
