,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,7538765,6280151,"[7538774, 7538781, 7538788, 10015769, 11186471, 14963358, 11186471, 14938436, 15214898]",7537402,"[7538778, 7538785, 7538792, 12893037, 14963355, 14963361, 15713363, 22657991, 22657992]"
1,7539078,6280151,"[4725907, 15214892, 15214898, 18762840, 10015769]",7537396,"[7539091, 7539105, 7539098, 7539084, 12893041]"
2,7539109,6280151,"[7539118, 12342642, 15214898, 6578062, 4725907, 12342642]",7537379,"[7539122, 7539129, 7539115, 7539136, 15215024, 14963579]"
3,14963388,6280151,"[14963391, 14963403, 15214898, 8261568, 15555885]",7537405,"[14963394, 14963406, 14963418, 19160745, 14963412]"
4,14965066,12140587,"[14965074, 14965080, 14965085, 14965092, 14965133, 15214898, 2734805]",14965065,"[14965077, 14965083, 14965088, 14965095, 14965136, 14965071, 14965142]"
5,14965148,12140587,"[14965150, 14965162, 14965168, 14965173, 14965179, 14965185, 15214898, 15199830, 10929871, 2734805]",14965147,"[14965153, 14965165, 14965171, 14965176, 14965182, 14965188, 14965159, 15468914, 14965113, 14965119]"
6,14965934,16233066,"[14965936, 14965942, 14965948, 11064947, 10095950, 15233172, 15214898, 16014849, 16232630, 10095950]",14965933,"[14965939, 14965945, 14965951, 14965957, 14965969, 14965963, 19579171, 19579172, 16214985, 19579173]"
7,15199761,15199830,"[10929871, 10015769, 16014849, 16015795, 4725907, 16014849, 11186471, 15214898, 4725907, 15883343, 12342642, 15214898]",15199760,"[15199790, 15199766, 15199814, 15199795, 15199778, 15199802, 15199808, 15199784, 15215191, 17571971, 14963579, 15215171]"
8,15214882,15199830,"[10929871, 4725907, 15214892, 15214898, 10015769, 10015769]",15214889,"[15214907, 15214881, 15214895, 15214901, 12893046, 16510260]"
9,19542260,15551560,"[15214898, 15550937, 15550932, 10929871, 15214892, 15550957, 14938436]",15715221,"[15713174, 15713173, 15713172, 15714349, 15713176, 15713177, 15714346]"
10,19579255,16233066,"[16115075, 16791544, 15214898]",14790920,"[17597654, 19579258, 19579259]"
11,24497466,16232630,"[17011550, 19485714, 10929871, 17011550, 15214898, 15555885]",16214984,"[24486120, 24497470, 10931668, 18241259, 24497468, 24497467]"
