,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,1706344,10750067,7,49183,84633,126900,-1,5,slab
1,10824537,10082122,3,43434,84396,128700,-1,5,slab
2,10824538,10824537,3,43426,84383,128750,-1,5,slab
3,10824539,10824538,3,43418,84369,128800,-1,5,slab
4,10824540,10824539,3,43410,84355,128850,-1,5,slab
5,10824541,10824540,3,43395,84318,128900,-1,5,slab
6,10824542,10824541,3,43380,84281,128950,-1,5,slab
7,10824543,10824542,3,43365,84244,129000,-1,5,slab
8,10824544,10824543,3,43351,84207,129050,-1,5,slab
9,10824545,10824544,3,43366,84204,129100,-1,5,slab
10,10824548,10824545,3,43382,84202,129150,-1,5,slab
11,10824549,10824548,3,43398,84199,129200,-1,5,slab
12,10824552,10824549,3,43436,84213,129250,-1,5,slab
13,10824553,10824552,3,43473,84227,129300,-1,5,slab
14,10824554,10824553,3,43510,84241,129350,-1,5,slab
15,10824558,10824554,3,43562,84262,129400,-1,5,slab
16,10824559,10824558,3,43614,84283,129450,-1,5,slab
17,10824560,10824559,3,43666,84304,129500,-1,5,slab
18,10824583,10824560,3,43678,84313,129550,-1,5,slab
19,10824584,10824583,3,43690,84323,129600,-1,5,slab
20,10824585,10824584,3,43702,84332,129650,-1,5,slab
21,10824586,10824585,3,43714,84342,129700,-1,5,slab
22,10824595,10824586,3,43814,84403,129750,-1,5,slab
23,10824596,10824595,3,43915,84463,129800,-1,5,slab
24,10824600,10824596,3,43907,84452,129850,-1,5,slab
25,10824601,10824600,3,43900,84441,129900,-1,5,slab
26,10824602,10824601,3,43909,84420,129950,-1,5,slab
27,10824603,10824602,3,43917,84400,130000,-1,5,slab
28,10824604,10824603,3,43926,84380,130050,-1,5,slab
29,10824607,10824604,3,43936,84438,130100,-1,5,slab
30,10824608,10824607,3,43947,84496,130150,-1,5,slab
31,10824609,10824608,3,43957,84555,130200,-1,5,slab
32,10824612,10824609,3,43968,84594,130250,-1,5,slab
33,10824613,10824612,3,43980,84633,130300,-1,5,slab
34,10824614,10824613,3,43991,84672,130350,-1,5,slab
35,10824615,10824614,3,44002,84710,130400,-1,5,slab
36,10824617,10824615,3,43793,84615,130450,-1,5,slab
37,10824620,10824617,3,43735,84590,130500,-1,5,slab
38,10824621,10824620,3,43677,84565,130550,-1,5,slab
39,10824622,10824621,3,43619,84539,130600,-1,5,slab
40,10824624,10824622,3,43657,84498,130650,-1,5,slab
41,10824626,10824624,3,43643,84532,130700,-1,5,slab
42,10824627,10824626,3,43630,84566,130750,-1,5,slab
43,10824691,10824627,3,43607,84587,130800,-1,5,slab
44,10824693,10824691,3,43584,84608,130850,-1,5,slab
45,10824694,10824693,3,43562,84629,130900,-1,5,slab
46,10824695,10824694,3,43539,84650,130950,-1,5,slab
47,10824696,10824695,3,43453,84646,131000,-1,5,slab
48,10824697,10824696,3,43368,84642,131050,-1,5,slab
49,10824701,10824697,3,43382,84624,131100,-1,5,slab
50,10824702,10824701,3,43396,84607,131150,-1,5,slab
51,10824703,10824702,3,43410,84589,131200,-1,5,slab
52,10824704,10824703,3,43401,84625,131250,-1,5,slab
53,10824705,10824704,3,43392,84661,131300,-1,5,slab
54,10824706,10824705,3,43384,84697,131350,-1,5,slab
55,10824707,10824706,3,43375,84733,131400,-1,5,slab
56,10824779,10824707,3,43338,84699,131450,-1,5,slab
57,10824780,10824779,3,43301,84665,131500,-1,5,slab
58,10824796,10824780,3,43283,84691,131550,-1,5,slab
59,10824797,10824796,3,43265,84718,131600,-1,5,slab
60,10824798,10824797,3,43247,84745,131650,-1,5,slab
61,7661664,10824798,3,43242,84766,131700,-1,5,slab
62,10824820,7661664,3,43229,84836,131750,-1,5,slab
63,10824821,10824820,3,43217,84907,131800,-1,5,slab
64,10824823,10824821,3,43160,84836,131850,-1,5,slab
65,7661694,10824824,3,43021,84713,131900,-1,5,slab
66,10824824,10824823,3,43171,84880,131900,-1,5,branch
67,10824828,10824824,3,43365,85142,131950,-1,5,slab
68,10824832,10824828,3,43340,85125,132000,-1,5,slab
69,10824833,10824832,3,43316,85108,132050,-1,5,slab
70,10824834,10824833,3,43375,85036,132100,-1,5,slab
71,10824835,10824834,3,43434,84964,132150,-1,5,slab
72,10824838,10824835,3,43370,84857,132200,-1,5,slab
73,10824839,10824838,3,43306,84751,132250,-1,5,slab
74,10824841,10824840,3,43179,84538,132350,-1,5,slab
75,10824840,10824839,3,43144,84675,132300,-1,5,slab
76,10824852,7661694,3,42939,84612,131950,-1,5,slab
77,10824853,10824852,3,42856,84512,132000,-1,5,slab
78,10824856,10824853,3,42801,84475,132050,-1,5,slab
79,10824857,10824856,3,42746,84439,132100,-1,5,slab
80,10824858,10824857,3,42658,84109,132150,-1,5,slab
81,10824860,10824858,3,42693,84040,132200,-1,5,slab
82,10824861,10824860,3,42727,83972,132250,-1,5,slab
83,10824862,10824861,3,42039,83714,132300,-1,5,slab
84,10824894,10824841,3,43193,84610,132400,-1,5,slab
85,10824895,10824894,3,43207,84683,132450,-1,5,slab
86,10824896,10824895,3,43405,84675,132500,-1,5,slab
87,10824897,10824896,3,43452,84660,132550,-1,5,slab
88,10824898,10824897,3,43499,84645,132600,-1,5,slab
89,10824899,10824898,3,43546,84629,132650,-1,5,slab
90,10824900,10824899,3,43538,84610,132700,-1,5,slab
91,10824902,10824900,3,43530,84591,132750,-1,5,slab
92,10824903,10824902,3,43523,84572,132800,-1,5,slab
93,10824904,10824903,3,43513,84586,132850,-1,5,slab
94,10824905,10824904,3,43503,84600,132900,-1,5,slab
95,10824906,10824905,3,43492,84614,132950,-1,5,slab
96,10824907,10824906,3,43529,84590,133000,-1,5,slab
97,10824908,10824907,3,43566,84566,133050,-1,5,slab
98,10824909,10824908,3,43603,84542,133100,-1,5,slab
99,10824910,10824909,3,43542,84654,133150,-1,5,slab
100,10824927,4044397,3,43728,84603,133250,-1,5,slab
101,4044397,10824910,3,43658,84607,133200,-1,5,slab
102,10824949,10824927,3,43761,84572,133300,-1,5,slab
103,10824950,10824949,3,43795,84542,133350,-1,5,slab
104,10824951,10824950,3,43806,84508,133400,-1,5,slab
105,10824952,10824951,3,43817,84474,133450,-1,5,slab
106,10824954,10824952,3,43774,84470,133500,-1,5,slab
107,10824955,10824954,3,43731,84466,133550,-1,5,slab
108,10824956,10824955,3,43688,84462,133600,-1,5,slab
109,10824959,10824956,3,43692,84449,133650,-1,5,slab
110,10824960,10824959,3,43696,84437,133700,-1,5,slab
111,10824961,10824960,3,43700,84424,133750,-1,5,slab
112,10824979,10824961,3,43696,84367,133800,-1,5,slab
113,10824980,10824979,3,43692,84310,133850,-1,5,slab
114,10824981,10824980,3,43688,84253,133900,-1,5,slab
115,10824983,10824981,3,43662,84224,133950,-1,5,slab
116,10824984,10824983,3,43635,84195,134000,-1,5,slab
117,10824985,10824984,3,43608,84166,134050,-1,5,slab
118,10824986,10824985,3,43591,84126,134100,-1,5,slab
119,10824987,10824986,3,43573,84087,134150,-1,5,slab
120,10824988,10824987,3,43555,84048,134200,-1,5,slab
121,10825010,10824988,3,43519,84029,134250,-1,5,slab
122,10825011,10825010,3,43483,84010,134300,-1,5,slab
123,10825012,10825011,3,43447,83991,134350,-1,5,slab
124,10825013,10825012,3,43434,83982,134400,-1,5,slab
125,10825014,10825013,3,43422,83973,134450,-1,5,slab
126,10825015,10825014,3,43409,83964,134500,-1,5,slab
127,10825017,10825015,3,43418,83938,134550,-1,5,slab
128,10825018,10825017,3,43427,83911,134600,-1,5,slab
129,10825019,10825018,3,43435,83885,134650,-1,5,slab
130,10825020,10825019,3,43408,83871,134700,-1,5,slab
131,10825021,10825020,3,43380,83858,134750,-1,5,slab
132,10825022,10825021,3,43353,83845,134800,-1,5,slab
133,10825023,10825022,3,43325,83831,134850,-1,5,slab
134,10825024,10825023,3,43276,83797,134900,-1,5,slab
135,10825025,10825024,3,43251,83807,134950,-1,5,slab
136,10825026,10825025,3,43147,83816,135000,-1,5,slab
137,10825027,10825026,3,43158,83814,135050,-1,5,slab
138,10825028,10825027,3,43169,83811,135100,-1,5,slab
139,10825029,10825028,3,43181,83809,135150,-1,5,slab
140,10825031,10825029,3,43171,83781,135200,-1,5,slab
141,10825032,10825031,3,43162,83753,135250,-1,5,slab
142,10825034,7662442,3,43117,83710,135350,-1,5,slab
143,10825035,10825034,3,43076,83714,135400,-1,5,slab
144,10825037,10825035,3,43035,83663,135450,-1,5,slab
145,10825038,10825037,3,42993,83612,135500,-1,5,slab
146,10825039,10825038,3,42951,83562,135550,-1,5,slab
147,10825041,10825039,3,42937,83506,135600,-1,5,slab
148,10825042,10825041,3,42923,83450,135650,-1,5,slab
149,10825043,10825042,3,42909,83394,135700,-1,5,slab
150,10825044,10825043,3,42896,83354,135750,-1,5,slab
151,10825045,10825044,3,42884,83313,135800,-1,5,slab
152,10825046,10825045,3,42871,83273,135850,-1,5,slab
153,10825048,10825046,3,42900,83246,135900,-1,5,slab
154,10825049,10825048,3,42928,83220,135950,-1,5,slab
155,10825051,10825049,3,42978,83180,136000,-1,5,slab
156,10825052,10825051,3,43027,83140,136050,-1,5,slab
157,10825053,10825052,3,43042,83087,136100,-1,5,slab
158,10825054,10825053,3,43057,83033,136150,-1,5,slab
159,10825055,10825054,3,43042,82960,136200,-1,5,slab
160,10825056,10825055,3,43027,82886,136250,-1,5,slab
161,10825057,10825056,3,43012,82813,136300,-1,5,slab
162,10825058,10825057,3,42995,82695,136350,-1,5,slab
163,10825059,10825058,3,42978,82577,136400,-1,5,branch
164,10825060,10825059,3,42960,82460,136450,-1,5,slab
165,10825062,10825060,3,42936,82348,136500,-1,5,slab
166,10825063,10825062,3,42912,82237,136550,-1,5,slab
167,10825064,10825063,3,42911,82064,136600,-1,5,slab
168,10825067,10825064,3,42896,82045,136650,-1,5,slab
169,10825068,10825067,3,42637,81719,136650,-1,5,branch
170,10825071,10825059,3,42995,82889,136450,-1,5,slab
171,10825073,10825071,3,42974,82868,136500,-1,5,slab
172,10825074,10825073,3,42953,82847,136550,-1,5,slab
173,10825087,10825074,3,42940,82879,136600,-1,5,slab
174,10825088,10825087,3,42926,82912,136650,-1,5,slab
175,10825096,10825088,3,42945,82980,136700,-1,5,slab
176,10825103,10825096,3,42932,82887,136750,-1,5,slab
177,10825104,10825103,3,42919,82794,136800,-1,5,branch
178,10825107,4045928,3,43378,83246,136750,-1,5,slab
179,10825108,10825107,3,43572,83508,136700,-1,5,slab
180,10825109,10825108,3,43633,83569,136650,-1,5,slab
181,10825110,10825109,3,43612,83560,136600,-1,5,slab
182,10825111,10825110,3,43591,83550,136550,-1,5,slab
183,10825112,10825111,3,43454,83486,136500,-1,5,end
184,10825166,10825104,3,42858,82764,136850,-1,5,slab
185,10825168,10825166,3,42825,82726,136900,-1,5,slab
186,10825169,10825168,3,42792,82688,136950,-1,5,slab
187,10825170,10825169,3,42759,82650,137000,-1,5,slab
188,10825181,10825170,3,42736,82690,137050,-1,5,slab
189,10825182,10825181,3,42713,82731,137100,-1,5,slab
190,10825183,10825182,3,42691,82771,137150,-1,5,slab
191,10825196,10825183,3,42680,82783,137200,-1,5,slab
192,10825197,10825196,3,42670,82794,137250,-1,5,slab
193,10825198,10825197,3,42659,82805,137300,-1,5,slab
194,10825199,10825198,3,42649,82817,137350,-1,5,slab
195,10825200,10825199,3,42643,82741,137400,-1,5,slab
