,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,286553,1706711,"[286567, 286577, 286589, 12643185]",286527,"[286571, 286581, 286593, 286561]"
1,2001620,2030334,"[2001629, 12643185, 13893969, 2003206, 2003199]",1700259,"[2001633, 2001626, 2091815, 2003210, 2003203]"
2,2001650,2030334,"[2001652, 12643185]",1997323,"[2001656, 2001663]"
3,2002986,2030334,"[2002988, 2002995, 12643185]",1997684,"[2002992, 2002999, 19884993]"
4,2003138,2030334,"[2003147, 2003154, 14600680, 14600745, 12643185, 12643185, 20833968]",1997345,"[2003151, 2003158, 14600683, 14600748, 2003144, 19884751, 14600721]"
5,4186786,5273235,"[4181384, 6516503, 12643185]",4186794,"[4186783, 6516507, 6516515]"
6,4720350,12643185,"[4524871, 4720366, 15504369, 10140099, 16063525]",4720356,"[4720343, 4720370, 4720363, 10140102, 17439819]"
7,5130773,4210173,"[5130782, 4013526, 12643185, 16872741, 12643185]",5130779,"[5130786, 5130770, 19884983, 19884984, 19884982]"
8,5493789,4933061,"[5493791, 12643185]",5493778,"[5493795, 19885039]"
9,5917538,4210173,"[12643185, 5917576]",5917229,"[5917545, 5917580]"
10,6911507,19023094,"[18520222, 16885197, 7934884, 7934891, 12643185]",6911513,"[6911506, 6911527, 7934888, 7934895, 12641750]"
11,6911857,16885183,"[6911867, 12643185, 16873056, 18520222]",6911863,"[6911871, 12641723, 19885267, 6911855]"
12,7578518,18338577,"[13895843, 12643185, 15854218]",6522276,"[7571692, 16951429, 16951430]"
13,7891464,17077347,"[7891473, 12643185, 4935973]",7891463,"[7891477, 7891484, 7891470]"
14,7891499,17077347,"[12643185, 4478328, 4715415]",7891498,"[7891505, 7891512, 7891519]"
15,7934713,16885183,"[16885197, 7934715, 7934722, 7934735, 12643185]",7934712,"[7934733, 7934719, 7934726, 7934739, 12641744]"
16,7935126,19023248,"[7935128, 7935141, 12643185]",7935120,"[7935132, 7935145, 7935139]"
17,7935157,19023177,"[12643185, 17650632, 17650637, 17650642, 19023248]",7935163,"[7935170, 21848510, 21848511, 21848512, 7935156]"
18,8407076,16763565,"[8407078, 8407085, 8407092, 8407098, 8407105, 8407112, 12643185]",8407075,"[8407082, 8407089, 8407096, 8407102, 8407109, 8407116, 10336576]"
19,9000980,12643185,"[16533187, 8026224, 12643869, 12643875, 14087107, 16805207, 14087339, 19255015, 15352954, 14206438]",9000986,"[9000993, 9001000, 12643872, 12643878, 19615907, 19615908, 19709417, 12643914, 19884572, 19592385]"
20,9002026,12643185,"[9002042, 15504369, 16872279, 16872284, 12901480, 16872294, 16872299, 16872307, 8688631]",9002032,"[9002046, 9002039, 19884599, 19884600, 12767732, 19884601, 19884602, 19884603, 9002025]"
21,10333325,12643185,"[4028114, 15354169, 8237648, 20901068, 8237648, 14206438, 1886459]",10333342,"[10333330, 15354172, 10333336, 19589810, 15111942, 19588689, 10332889]"
22,10335362,1886459,"[10335364, 10335370, 10335376, 12643185]",10334815,"[10335367, 10335373, 10335379, 12641697]"
23,10338776,10089445,"[10338779, 12643185]",10337730,"[10338782, 10336407]"
24,10340754,10089445,"[10340756, 10340762, 16872970, 12643185]",10337797,"[10340759, 10340765, 19885225, 12644262]"
25,10442070,2030334,"[10442075, 12643185, 18747943, 18747948, 18747953]",10441822,"[10442078, 10442088, 23521420, 23521421, 23521422]"
26,10442325,2030334,"[10442327, 10442333, 14600067, 14600073, 12643185, 10442293]",10441865,"[10442330, 10442336, 14600070, 14600076, 10442290, 10442296]"
