,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,10586428,13869330,12,43717,66091,115350,-1,5,slab
1,10590016,12706086,12,43491,69106,128400,-1,5,slab
2,10590170,12706140,12,43090,69131,128650,-1,5,slab
3,10642143,17995915,12,45107,68561,118500,-1,5,slab
4,10642565,12683744,12,43542,65907,116350,-1,5,end
5,10649145,19793561,12,42953,68417,115600,-1,5,end
6,11919451,19793574,45,42782,68371,116250,-1,5,slab
7,13863571,8403536,27,41801,73875,111150,-1,5,slab
8,13863572,13863571,27,41826,73902,111100,-1,5,slab
9,13863573,13863572,27,41851,73929,111050,-1,5,slab
10,13863574,13863573,27,41876,73955,111000,-1,5,slab
11,13863575,13863574,27,41900,73982,110950,-1,5,slab
12,13863576,13863575,27,41925,74008,110900,-1,5,slab
13,13863577,13863576,27,41950,74035,110850,-1,5,slab
14,13863578,13863577,27,41955,74043,110800,-1,5,slab
15,13863599,13863578,27,42007,73997,110750,-1,5,slab
16,13863600,13863599,27,42250,73822,110700,-1,5,branch
17,13863601,12706249,27,45151,67835,130150,-1,5,slab
18,13863602,13863601,27,45121,67820,130200,-1,5,branch
19,13863623,13863602,27,45341,67453,130250,-1,5,slab
20,10589940,13863623,12,45771,67235,130300,-1,5,slab
21,13863625,10589940,27,45807,67249,130350,-1,5,slab
22,13863626,13863625,27,45844,67262,130400,-1,5,slab
23,13863627,13863626,27,45881,67276,130450,-1,5,branch
24,13863628,13863627,27,45938,67336,130500,-1,5,slab
25,13863629,13863628,27,45995,67395,130550,-1,5,slab
26,13863630,13863629,27,46052,67455,130600,-1,5,slab
27,13863631,13863630,27,46063,67519,130650,-1,5,end
28,13863652,13863602,27,45138,67883,130250,-1,5,slab
29,13863653,13863652,27,45156,67946,130300,-1,5,slab
30,13863654,13863653,27,45174,68010,130350,-1,5,slab
31,13863655,13863654,27,45197,68055,130400,-1,5,slab
32,13863656,13863655,27,45220,68101,130450,-1,5,slab
33,13863657,13863656,27,45280,68108,130500,-1,5,slab
34,13863658,13863657,27,45271,68117,130550,-1,5,slab
35,13863659,13863658,27,45263,68126,130600,-1,5,slab
36,13863660,13863659,27,45254,68135,130650,-1,5,slab
37,13863661,13863660,27,45225,68132,130700,-1,5,slab
38,13863662,13863661,27,45197,68129,130750,-1,5,slab
39,13863663,13863662,27,45168,68126,130800,-1,5,slab
40,13863664,13863663,27,45140,68124,130850,-1,5,slab
41,13863665,13863664,27,45108,68154,130900,-1,5,slab
42,13863666,13863665,27,45076,68184,130950,-1,5,slab
43,13863667,13863666,27,45045,68215,131000,-1,5,slab
44,13863668,13863667,27,45014,68249,131050,-1,5,slab
45,13863669,13863668,27,45014,68249,131100,-1,5,slab
46,13863671,13863669,27,45011,68243,131150,-1,5,slab
47,13863672,13863671,27,45007,68238,131200,-1,5,slab
48,13863673,13863672,27,45005,68260,131250,-1,5,slab
49,13863674,13863673,27,45004,68283,131300,-1,5,slab
50,13863675,13863674,27,45003,68306,131350,-1,5,slab
51,13489375,13863675,12,45075,68312,131400,-1,5,slab
52,13863689,13489375,27,45033,68378,131450,-1,5,slab
53,13863690,13863689,27,45043,68430,131500,-1,5,slab
54,13863691,13863690,27,45052,68481,131550,-1,5,slab
55,13863692,13863691,27,45097,68483,131600,-1,5,slab
56,13863693,13863692,27,45141,68486,131650,-1,5,slab
57,13863694,13863693,27,45185,68488,131700,-1,5,slab
58,13863695,13863694,27,45250,68509,131750,-1,5,slab
59,13863696,13863695,27,45315,68529,131800,-1,5,slab
