,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,11568918,11568916,18,51155,87259,96450,-1,5,slab
1,11568921,11568918,18,51201,87403,96400,-1,5,slab
2,11568922,11568921,18,51186,87464,96350,-1,5,slab
3,11568924,11568923,18,51049,87533,96250,-1,5,slab
4,11568927,11568924,18,50954,87601,96200,-1,5,slab
5,11568929,11568928,18,50825,87612,96100,-1,5,slab
6,11568930,11568929,18,50787,87616,96050,-1,5,slab
7,11568931,11568930,18,50779,87631,96000,-1,5,slab
8,11568932,11568931,18,50665,87612,95950,-1,5,slab
9,11568933,11568932,18,50631,87597,95900,-1,5,slab
10,11568936,11568933,18,50619,87548,95850,-1,5,slab
11,11568941,11568940,18,50680,87331,95700,-1,5,slab
12,11568944,11568942,18,50969,86814,95600,-1,5,slab
13,11568946,11568945,18,51030,86708,95500,-1,5,slab
14,11568947,11568946,18,51060,86685,95450,-1,5,slab
15,11568950,11568949,18,51079,86681,95300,-1,5,slab
16,11568953,11568952,18,51113,86632,95150,-1,5,slab
17,11568963,11568954,18,51018,86605,95050,-1,5,slab
18,11568964,11568963,18,51011,86594,95000,-1,5,slab
19,11568965,11568964,18,51011,86605,94950,-1,5,slab
20,11568966,11568965,18,50965,86617,94900,-1,5,slab
21,11568968,11568967,18,50942,86609,94800,-1,5,slab
22,11568970,11568969,18,50897,86613,94700,-1,5,slab
23,11568975,11568974,18,50825,86617,94550,-1,5,slab
24,11568977,11568975,18,50809,86609,94500,-1,5,slab
25,11569003,11568977,18,50790,86598,94450,-1,5,slab
26,11569004,11569003,18,50825,86575,94400,-1,5,slab
27,11569005,11569004,18,50840,86590,94350,-1,5,slab
28,11569006,11569005,18,50851,86598,94300,-1,5,slab
29,11569007,11569006,18,50863,86621,94250,-1,5,slab
30,11569015,11569007,18,50878,86681,94200,-1,5,slab
31,11569017,11569015,18,50889,86621,94150,-1,5,slab
32,11569018,11569017,18,50939,86594,94100,-1,5,slab
33,11569020,11569018,18,50988,86564,94050,-1,5,slab
34,11569024,11569020,18,51018,86598,94000,-1,5,slab
35,11569025,11569024,18,51022,86594,93950,-1,5,slab
36,11569026,11569025,18,51053,86609,93900,-1,5,slab
37,11569027,11569026,18,51094,86598,93850,-1,5,slab
38,11569033,11569027,18,51132,86560,93800,-1,5,slab
39,11569034,11569033,18,51170,86533,93750,-1,5,slab
40,11569035,11569034,18,51330,86522,93700,-1,5,slab
41,11569038,11569035,18,51288,86526,93650,-1,5,slab
42,11569041,11569038,18,51292,86526,93600,-1,5,slab
43,11569044,11569043,18,51277,86564,93500,-1,5,slab
44,11569047,11569045,18,51273,86503,93400,-1,5,slab
45,11569051,11569047,18,51284,86488,93350,-1,5,slab
46,11569053,11569052,18,51281,86419,93250,-1,5,slab
47,11569054,11569053,18,51265,86358,93200,-1,5,slab
48,11569057,11569056,18,51277,86309,93100,-1,5,slab
