,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,2169881,2183099,"[2169890, 2169904, 2169911, 4220548, 6970942]",2169880,"[2169894, 2169908, 2169915, 2169887, 2169901]"
1,2169949,2183099,"[2169958, 2169966, 2169973, 2169980, 4220548]",2169948,"[2169962, 2169970, 2169977, 2169984, 2169955]"
2,2169993,2183099,"[2169995, 2170002, 2170016, 4220548, 5358138]",2169992,"[2169999, 2170006, 2170020, 2170013, 11469986]"
3,2170269,2183099,"[2170271, 2170278, 2170285, 4220548, 4780637, 4881629]",2170268,"[2170275, 2170282, 2170289, 2170296, 19212653, 12926982]"
4,2170472,2183099,"[2170481, 2170495, 2170502, 4220548, 4935973]",2170471,"[2170485, 2170499, 2170506, 2170492, 2170478]"
5,2170534,2183099,"[4978454, 2170543, 2170550, 4220548, 4102728, 5358138, 16713121, 4935973]",2170533,"[2170561, 2170547, 2170554, 2170540, 4114378, 5310666, 4119207, 62175377]"
6,2182771,2183099,"[2182773, 2182780, 2182787, 2182794, 4220548]",2169879,"[2182777, 2182784, 2182791, 2182798, 2182805]"
7,3835962,2583770,"[3835964, 3835978, 4220548, 12944429, 6970942, 13255354]",3826703,"[3835968, 3835982, 3835975, 3835989, 19060213, 14049662]"
8,4114095,4780637,"[4102728, 4114105, 4881629, 4220548, 16713121]",4114102,"[4114094, 4114109, 4114125, 4114116, 12888816]"
9,4119146,18474053,"[4119155, 4119162, 6196127, 6196147, 6196173, 4220548, 6462650, 16713121]",4119152,"[4119159, 4119166, 6196132, 6196151, 6196177, 6196158, 12777844, 4119110]"
10,4396189,1918273,"[6970942, 4396212, 11371351, 4220548, 4101976, 11371351]",4396195,"[4396188, 4396216, 4396202, 4396209, 4889432, 4396223]"
11,4816683,5459181,[4220548],4816689,[4816675]
12,4839436,4935973,"[4220548, 4839462, 4326520]",4839443,"[4839426, 4839466, 4722417]"
13,4981663,4981665,"[4936603, 14199031, 15546090, 17860591, 4220548]",4981669,"[4981662, 10650659, 17983302, 22130231, 18097001]"
14,4982438,10414725,"[4220548, 4982454, 13878729, 16259101, 13983067, 10354555]",4982444,"[4982425, 4982458, 4982451, 18039367, 13983070, 10354558]"
15,4990795,10589278,"[4220548, 4990804, 10051927, 13875538]",4990801,"[4990794, 4990808, 13960351, 14013688]"
