,treenode_id,parent_id,creator_id,x,y,z,radius,confidence,type
0,18982962,25392957,27,41495,63656,119700,-1,5,end
1,4399020,6411122,27,45379,65200,119350,-1,5,slab
2,6932934,6932933,27,43422,64299,119350,-1,5,end
3,2743113,9993451,15,40352,70497,118200,-1,5,end
4,9555351,23813787,27,36692,77364,123050,-1,5,slab
5,9543979,9993905,27,50578,68631,118850,-1,5,slab
6,9544169,25392742,27,42472,63596,120000,-1,5,end
7,9544176,25392658,27,42457,63501,120000,-1,5,end
8,9544190,9602340,27,41363,63984,120000,-1,5,end
9,13369719,23764932,27,36385,76106,120500,-1,5,slab
10,9602206,6881987,27,46001,64464,119350,-1,5,slab
11,9602208,9602207,27,46101,64569,119450,-1,5,slab
12,9602209,9602208,27,46010,64508,119500,-1,5,slab
13,9602210,9602209,27,46031,64502,119550,-1,5,slab
14,9602211,9602210,27,46053,64497,119600,-1,5,end
15,9602213,9602214,27,45894,64448,119200,-1,5,slab
16,9602214,9602215,27,45828,64438,119150,-1,5,slab
17,9602215,6881940,27,45761,64429,119100,-1,5,slab
18,9602217,9602218,27,42579,63441,119850,-1,5,slab
19,9602219,9602220,27,42656,63490,119750,-1,5,slab
20,4870055,6409452,27,42928,63680,119450,-1,5,slab
21,9602220,9602221,27,42746,63482,119700,-1,5,slab
22,9602221,9602222,27,43008,63539,119650,-1,5,slab
23,9602222,9602223,27,43066,63566,119600,-1,5,slab
24,9602226,25393094,27,43299,63672,119400,-1,5,branch
25,9602227,9602226,27,43357,63699,119350,-1,5,branch
26,9602228,9602227,27,43415,63726,119300,-1,5,slab
27,9602229,9602228,27,43473,63752,119250,-1,5,slab
28,9602233,9602229,27,43605,63764,119200,-1,5,slab
29,9602234,9602233,27,43703,63783,119150,-1,5,slab
30,9602235,9602234,27,43760,63885,119100,-1,5,slab
31,9602238,9602235,27,44144,63976,119100,-1,5,slab
32,9602239,9602238,27,44254,64033,119050,-1,5,slab
33,9602240,9602239,27,44482,64125,119000,-1,5,slab
34,9602241,9602240,27,44992,64360,118950,-1,5,slab
35,9602242,9602241,27,45531,64657,119000,-1,5,branch
36,6933065,9602242,27,45839,64744,119000,-1,5,slab
37,9602244,6933065,27,46071,64877,119000,-1,5,slab
38,9602245,9602244,27,46318,64953,119000,-1,5,branch
39,9602262,9602245,27,46356,64989,118950,-1,5,slab
40,9602263,9602262,27,46394,65025,118900,-1,5,end
41,9602272,9602245,27,46405,65067,119050,-1,5,slab
42,9602273,9602272,27,46466,65088,119100,-1,5,slab
43,9602277,9602274,27,46694,65230,119200,-1,5,slab
44,9602278,9602277,27,46937,65265,119200,-1,5,slab
45,9602287,9602278,27,47040,65272,119250,-1,5,slab
46,9602303,9602287,27,47374,65337,119300,-1,5,slab
47,9602308,9602303,27,47627,65211,119350,-1,5,slab
48,9602314,9602308,27,47659,65219,119400,-1,5,slab
49,9602316,9602314,27,47792,65348,119450,-1,5,slab
50,9602319,9602316,27,47944,65527,119500,-1,5,slab
51,9602321,9602319,27,48366,65789,119500,-1,5,slab
52,9602327,6888156,27,42586,63479,119950,-1,5,slab
53,4881462,19640574,27,43878,63699,119950,-1,5,slab
54,9602340,9602341,27,41321,63943,119950,-1,5,slab
55,9602341,9602342,27,41280,63903,119900,-1,5,slab
56,9602342,9602344,27,41239,63862,119850,-1,5,slab
57,9602345,9602346,27,41287,63897,119750,-1,5,slab
58,9602346,9602350,27,41311,63915,119700,-1,5,slab
59,9602350,9602351,27,41333,63948,119650,-1,5,slab
60,9602351,25393050,27,41356,63981,119600,-1,3,branch
61,9602356,9602352,27,41411,64041,119500,-1,5,slab
62,9602357,9602356,27,41444,64067,119450,-1,5,slab
63,4399036,25392646,27,45151,65067,119350,-1,5,end
64,5082860,6409585,27,40333,64163,120050,10,5,branch
65,5084472,6825367,27,36221,66918,120750,10,5,slab
66,6412933,6412932,27,37699,65371,120650,10,5,slab
67,6412996,6412969,27,38604,64809,120600,10,5,slab
68,6409456,6409457,27,42686,63609,119200,-1,5,slab
69,6409534,6409533,27,46334,65701,118750,-1,5,slab
70,6409533,6409532,27,46320,65694,118700,-1,5,slab
71,6409537,6409536,27,46317,65815,118900,-1,5,slab
72,6409541,6409540,27,46299,66028,119050,-1,5,slab
73,6409548,6409547,27,46375,66354,119200,-1,5,slab
74,6409582,6409581,27,46340,66648,119400,-1,5,slab
75,6409580,6409549,27,46360,66506,119300,-1,5,slab
76,6409586,6409587,27,40314,64158,120150,10,5,slab
77,6409587,6409588,27,40301,64156,120200,10,5,branch
78,5055425,6409587,27,40230,64258,120200,10,5,end
79,6409603,4113871,27,39421,64410,120600,10,5,slab
80,6409604,6409603,27,39672,64402,120550,10,5,slab
81,6409606,6409604,27,39744,64406,120500,10,5,slab
82,6409610,6409607,27,39960,64343,120400,10,5,branch
83,6411132,6411133,27,45698,65052,118800,-1,5,slab
84,6564260,6933975,27,75931,83577,122400,-1,5,slab
85,6815822,5084717,27,39649,64531,120100,-1,5,end
86,6818492,6825405,27,34462,72226,120950,10,5,slab
87,6825549,6825550,27,36233,79536,123750,10,5,slab
88,6825550,6825551,27,36305,79618,123700,10,5,slab
89,6825551,6825552,27,36377,79701,123650,10,5,slab
90,6825552,6825553,27,36537,79910,123700,10,5,slab
91,6825553,6825554,27,36575,79965,123750,10,5,slab
92,6825554,6932667,27,36613,80020,123800,10,5,slab
93,6825459,6825460,27,34535,73143,121800,10,5,slab
94,6825434,6825433,27,34347,73164,119900,10,5,end
95,6825433,6825432,27,34357,73122,119950,10,5,slab
96,6825432,6825431,27,34366,73081,120000,10,5,slab
97,6825430,6825429,27,34302,73058,120100,10,5,slab
98,6825427,6825426,27,34359,72908,120250,10,5,slab
99,6825431,6825430,27,34334,73069,120050,10,5,slab
100,6825428,6825427,27,34340,72958,120200,10,5,slab
101,6825426,6825425,27,34378,72858,120300,10,5,slab
102,6825425,6825424,27,34397,72808,120350,10,5,slab
103,6825424,6825423,27,34416,72758,120400,10,5,slab
104,6825423,6825422,27,34435,72709,120450,10,5,slab
105,6825422,6825421,27,34454,72659,120500,10,5,slab
106,6825421,6825413,27,34425,72640,120550,10,5,slab
107,6825413,6825412,27,34397,72621,120600,10,5,slab
108,6825412,6825411,27,34383,72583,120650,10,5,slab
109,6825411,6825410,27,34369,72545,120700,10,5,slab
