,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,3546108,2798040,"[14203725, 4042315, 4028114, 4717729, 14206438, 5899328, 19876268]",3546107,"[3546114, 4081012, 4470034, 3546128, 18753107, 3546121, 24984723]"
1,3546253,2798040,"[16712771, 14203725, 19133808, 5899328, 4070588]",3546252,"[3546280, 3546273, 3546266, 3546259, 24027985]"
2,3546452,2798040,"[5899328, 14206438, 6463937, 16512969, 16712771, 19874665]",3546285,"[3546459, 3546467, 9918084, 5433389, 18753172, 24983088]"
3,4034847,17435371,"[4034859, 4034867, 4035015, 4274364, 5899328]",4034853,"[4034863, 4034871, 4035019, 4034843, 4035069]"
4,4036637,2798040,"[4717729, 14203725, 7992966, 4042315, 14206438, 6467481, 5899328, 16512969]",3546004,"[4036644, 4036651, 4036665, 4285103, 4036658, 4036631, 18297959, 5433496]"
5,4038086,16512969,"[4038097, 5899328, 6467481]",4038092,"[4038101, 4038111, 4036715]"
6,4470001,16512969,"[4028114, 14203725, 5899328, 14206438, 2798040]",4470007,"[4469967, 18357214, 18297942, 5433556, 3546142]"
7,4732927,10745937,"[10649843, 13866859, 13866871, 19284232, 19111930, 14046720, 5899328]",4732935,"[4732921, 13866862, 13866874, 18732228, 18384971, 24009210, 25279311]"
8,4733082,19210090,"[4733109, 10649843, 8026224, 19111930, 14046720, 14047130, 5899328]",4733088,"[4733113, 4733081, 19759070, 18384970, 24009209, 4733106, 25279314]"
9,5394860,17435371,"[5899328, 5394883, 5394890, 14086309, 15663176, 19111930, 14087339, 19111930]",5394775,"[5394866, 5394887, 5394894, 5394880, 16087050, 18384826, 10642871, 18385280]"
10,5394907,17435371,"[5899328, 19111930, 14087339]",5394906,"[5394920, 5394913, 10643023]"
11,5394927,17435371,"[5394957, 14087107, 14203725, 15663128, 14087107, 16798786, 5899328, 14088451, 19111930, 5899328]",5394926,"[5394961, 5394947, 5394940, 16087034, 19598376, 19598386, 19598387, 23903224, 5394933, 23996484]"
12,5433304,16512969,"[4717729, 5433432, 14206438, 19139253, 14203725, 5899328, 7992966, 19133808, 6463937]",4036702,"[18802401, 5433436, 5433345, 5433324, 5433331, 5433366, 5433374, 5433310, 18804197]"
13,5446409,4037028,"[5446419, 5446426, 5446433, 5447092, 5899328, 4538738, 17580694]",5446372,"[5446423, 5446430, 5446437, 5447096, 5446416, 12968161, 21740812]"
14,5588755,19210090,"[5588764, 5588771, 10223572, 14047554, 5899328]",5588754,"[5588768, 5588775, 5588761, 19753109, 17444345]"
