skeleton_id," ""neuron_name""",,,,,
159280," ""SNs",A1L Sensory,"159280""",,,
162293," ""SNs",A1L Sensory,"162293""",,,
722935," ""SNs",A1L Sensory,"722935""",,,
986460," ""SNs",A1L Sensory,"986460""",,,
2042488,"""A01r",A1L,NB1-2,Ventral,"2042488""",
2637812,"""A02n",A1R,NB2-1,Ventral,"2637812""",
2777891," ""SNs",A1R Sensory,"2777891""",,,
2798040,"""A02i",A1L,NB2-1,Dorsal,"2798040""",
3180525,"""A03o",A1R,NB7-1,Ventral,"3180525""",
3504632,"""A02c",A1L,NB2-1,Ventral,"3504632""",
3546334,"""A02m",A1R,NB2-1,Ventral,"3546334""",
3546835,"""A02n",A1L,NB2-1,Ventral,"3546835""",
3786734," ""SNs",A1R Sensory,"3786734""",,,
3995976,"""A01d2",A1L,NB1-2,Dorsal,"3995976""",
4028114," ""MNs",A1L,A1L Motor Neurons,MNs,"4028114""",
4034528,"""A06a",A1R,NB5-2,Dorsal,"4034528""",
4038469,"""A01h",A1R,NB4-1,Ventral,"4038469""",
4039711,"""A03y1",A1L,NB7-1,Ventral,"4039711""",
4042315," ""MNs",A1L,A1L Motor Neurons,MNs,"4042315""",
4060628,"""A08m",A1L,NB3-3,Ventral,"4060628""",
4071032,"""A02f",A1L,NB2-1,Dorsal,"4071032""",
4094905," ""SNs",A1R Sensory,"4094905""",,,
4101812," ""SNs",A1R Sensory,"4101812""",,,
4101976," ""MNs",A1R,A1R Motor Neurons,MNs,"4101976""",
4102120," ""SNs",A1R Sensory,"4102120""",,,
4102728," ""MNs",A1R,A1R Motor Neurons,MNs,"4102728""",
4113533,"""A01c2",A1L,NB1-2,Dorsal,"4113533""",
4121534," ""MNs",A1R,A1R Motor Neurons,MNs,"4121534""",
4123145,"""A01h",A1L,NB4-1,Ventral,"4123145""",
4274364," ""MNs",A1L,A1L Motor Neurons,MNs,"4274364""",
4280992," ""SNs",A1L Sensory,"4280992""",,,
4289773," ""MNs",A1L,A1L Motor Neurons,MNs,"4289773""",
4302562,"""A03o",A1L,NB7-1,Ventral,"4302562""",
4313311,"""A03y3",A1L,NB7-1,Ventral,"4313311""",
4326468," ""MNs",A1L,A1L Motor Neurons,MNs,"4326468""",
4326520," ""MNs",A1L,A1L Motor Neurons,MNs,"4326520""",
4382895," ""MNs",A1R,A1R Motor Neurons,MNs,"4382895""",
4386719,"""A06f",A1L,NB5-2,Dorsal,"4386719""",
4394777,"""A17i?",A1L,NB1-2,Ventral,"4394777""",
4397287," ""MNs",A1R,A1R Motor Neurons,MNs,"4397287""",
4467735," ""SNs",A1L Sensory,"4467735""",,,
4478328,"""A06h",A1R,NB5-2,Dorsal,"4478328""",
4488976," ""MNs",T3R Motor Neurons,MNs,"4488976""",,
4524495," ""SNs",A1L Sensory,"4524495""",,,
4524871," ""MNs",A1L,A1L Motor Neurons,MNs,"4524871""",
4535767," ""MNs",A1R,A1R Motor Neurons,MNs,"4535767""",
4538613,"""A03y1",A1R,NB7-1,Ventral,"4538613""",
4542822,"""A06h",A1L,NB5-2,Dorsal,"4542822""",
4543281,"""A03a4",A1R,NB7-1,Dorsal,"4543281""",
4715415,"""A02k",A1L,NB2-1,Ventral,"4715415""",
4728120,"""A06b",A1R,NB5-2,Dorsal,"4728120""",
4740178,"""A05q",A1L,NB4-1,Ventral,"4740178""",
4778439,"""A02m",A1L,NB2-1,Ventral,"4778439""",
4824878,"""A23m",A1R,NB7-4,Ventral,"4824878""",
4829813,"""A17i?",A1R,NB1-2,Ventral,"4829813""",
4833168,"""A05q",A1R,NB4-1,Ventral,"4833168""",
4848300,"""A03x4",A1R,NB7-1,Dorsal,"4848300""",
4850409,"""A14a1",A1R,NB4-1,Dorsal,"4850409""",
4868173,"""A12h",A1R,NB5-2,Ventral,"4868173""",
4881629," ""MNs",A1R,A1R Motor Neurons,MNs,"4881629""",
4936149,"""A01c2",A1R,NB1-2,Dorsal,"4936149""",
5057361,"""A02i",A1R,NB2-1,Dorsal,"5057361""",
5084467,"""A01c1",A1L,NB1-2,Dorsal,"5084467""",
5085455," ""MNs",T3R Motor Neurons,MNs,"5085455""",,
5298032,"""A14a3",A1R,NB4-1,Dorsal,"5298032""",
5343578,"""A08h",A1L,NB3-3,Ventral,"5343578""",
5452198,"""A06g2",A1R,NB5-2,Dorsal,"5452198""",
5584748," ""SNs",A1L Sensory,"5584748""",,,
5899328," ""MNs",T3L Motor Neurons,MNs,"5899328""",,
6195521," ""SNs",A1R Sensory,"6195521""",,,
6274400,"""A03y2",A1R,NB7-1,Ventral,"6274400""",
6276557," ""SNs",A1R Sensory,"6276557""",,,
